[-0.00698132, -0.00698132] ; [-0.000260544, 0]
[-0.00698122, -0.00698122] ; [0, 0.000260544]
[-0.00698059, -0.00698059] ; [0.000260544, 0.000729525]
[-0.00697798, -0.00697798] ; [0.000729525, 0.00157369]
[-0.00696954, -0.00696953] ; [0.00157369, 0.00298231]
[-0.00695623, -0.00695622] ; [0.00298231, 0.00439377]
[-0.00693828, -0.00693826] ; [0.00439377, 0.00581076]
[-0.00691592, -0.0069159] ; [0.00581076, 0.00723317]
[-0.00688941, -0.00688939] ; [0.00723317, 0.00866094]
[-0.00685899, -0.00685896] ; [0.00866094, 0.010094]
[-0.00682492, -0.00682489] ; [0.010094, 0.0115323]
[-0.00678746, -0.00678742] ; [0.0115323, 0.0129757]
[-0.00674687, -0.00674682] ; [0.0129757, 0.0144242]
[-0.00670341, -0.00670336] ; [0.0144242, 0.0158776]
[-0.00665737, -0.00665732] ; [0.0158776, 0.0173359]
[-0.00660901, -0.00660896] ; [0.0173359, 0.0187989]
[-0.00655863, -0.00655856] ; [0.0187989, 0.0202666]
[-0.00650649, -0.00650642] ; [0.0202666, 0.0217389]
[-0.00645288, -0.00645281] ; [0.0217389, 0.0232155]
[-0.00639811, -0.00639803] ; [0.0232155, 0.0246965]
[-0.00634246, -0.00634238] ; [0.0246965, 0.0261817]
[-0.00628592, -0.00628584] ; [0.0261817, 0.0276791]
[-0.00622841, -0.00622832] ; [0.0276791, 0.0291988]
[-0.00617025, -0.00617016] ; [0.0291988, 0.0307406]
[-0.00611182, -0.00611172] ; [0.0307406, 0.0323034]
[-0.00605353, -0.00605343] ; [0.0323034, 0.0338863]
[-0.00599577, -0.00599566] ; [0.0338863, 0.035489]
[-0.00593897, -0.00593885] ; [0.035489, 0.0371111]
[-0.00588357, -0.00588345] ; [0.0371111, 0.0387525]
[-0.00583006, -0.00582993] ; [0.0387525, 0.0404126]
[-0.00577896, -0.00577883] ; [0.0404126, 0.0420901]
[-0.00573079, -0.00573065] ; [0.0420901, 0.0437844]
[-0.00568608, -0.00568593] ; [0.0437844, 0.0454953]
[-0.0056454, -0.00564524] ; [0.0454953, 0.0472223]
[-0.00560931, -0.00560914] ; [0.0472223, 0.0489652]
[-0.00557842, -0.00557823] ; [0.0489652, 0.0507235]
[-0.00555333, -0.00555313] ; [0.0507235, 0.0524968]
[-0.00553469, -0.00553447] ; [0.0524968, 0.0542849]
[-0.00552314, -0.0055229] ; [0.0542849, 0.0560873]
[-0.00551935, -0.0055191] ; [0.0560873, 0.0579037]
[-0.00552402, -0.00552375] ; [0.0579037, 0.0597339]
[-0.00553785, -0.00553755] ; [0.0597339, 0.0615776]
[-0.00556156, -0.00556124] ; [0.0615776, 0.0634344]
[-0.0055959, -0.00559556] ; [0.0634344, 0.0653041]
[-0.00564163, -0.00564126] ; [0.0653041, 0.0671865]
[-0.00569953, -0.00569912] ; [0.0671865, 0.0690814]
[-0.00577039, -0.00576995] ; [0.0690814, 0.0709887]
[-0.00585504, -0.00585457] ; [0.0709887, 0.0729083]
[-0.00595432, -0.00595381] ; [0.0729083, 0.07484]
