[-1.74533, -1.74533] ; [-0.000260544, 0]
[-1.74533, -1.74533] ; [0, 0.000260544]
[-1.74531, -1.74531] ; [0.000260544, 0.000729525]
[-1.74524, -1.74524] ; [0.000729525, 0.00157369]
[-1.74503, -1.74503] ; [0.00157369, 0.00298231]
[-1.74467, -1.74467] ; [0.00298231, 0.00439377]
[-1.74418, -1.74418] ; [0.00439377, 0.00581076]
[-1.74355, -1.74355] ; [0.00581076, 0.00723317]
[-1.74278, -1.74278] ; [0.00723317, 0.00866094]
[-1.74187, -1.74187] ; [0.00866094, 0.010094]
[-1.74081, -1.74081] ; [0.010094, 0.0115323]
[-1.73961, -1.73961] ; [0.0115323, 0.0129757]
[-1.73826, -1.73826] ; [0.0129757, 0.0144242]
[-1.73677, -1.73677] ; [0.0144242, 0.0158776]
[-1.73513, -1.73513] ; [0.0158776, 0.0173359]
[-1.73334, -1.73334] ; [0.0173359, 0.0187989]
[-1.7314, -1.7314] ; [0.0187989, 0.0202666]
[-1.7293, -1.7293] ; [0.0202666, 0.0217389]
[-1.72706, -1.72706] ; [0.0217389, 0.0232155]
[-1.72466, -1.72466] ; [0.0232155, 0.0246965]
[-1.7221, -1.7221] ; [0.0246965, 0.0261817]
[-1.71938, -1.71938] ; [0.0261817, 0.0276791]
[-1.71646, -1.71646] ; [0.0276791, 0.0291988]
[-1.71333, -1.71333] ; [0.0291988, 0.0307406]
[-1.71001, -1.71001] ; [0.0307406, 0.0323034]
[-1.70647, -1.70647] ; [0.0323034, 0.0338863]
[-1.70272, -1.70272] ; [0.0338863, 0.035489]
[-1.69874, -1.69874] ; [0.035489, 0.0371111]
[-1.69454, -1.69454] ; [0.0371111, 0.0387525]
[-1.69011, -1.69011] ; [0.0387525, 0.0404126]
[-1.68545, -1.68545] ; [0.0404126, 0.0420901]
[-1.68054, -1.68054] ; [0.0420901, 0.0437844]
[-1.6754, -1.6754] ; [0.0437844, 0.0454953]
[-1.67001, -1.67001] ; [0.0454953, 0.0472223]
[-1.66436, -1.66436] ; [0.0472223, 0.0489652]
[-1.65846, -1.65846] ; [0.0489652, 0.0507235]
[-1.6523, -1.6523] ; [0.0507235, 0.0524968]
[-1.64588, -1.64588] ; [0.0524968, 0.0542849]
[-1.63919, -1.63919] ; [0.0542849, 0.0560873]
[-1.63222, -1.63222] ; [0.0560873, 0.0579037]
[-1.62499, -1.62499] ; [0.0579037, 0.0597339]
[-1.61747, -1.61747] ; [0.0597339, 0.0615776]
[-1.60967, -1.60967] ; [0.0615776, 0.0634344]
[-1.60158, -1.60158] ; [0.0634344, 0.0653041]
[-1.59321, -1.59321] ; [0.0653041, 0.0671865]
[-1.58454, -1.58454] ; [0.0671865, 0.0690814]
[-1.57557, -1.57557] ; [0.0690814, 0.0709887]
[-1.5663, -1.5663] ; [0.0709887, 0.0729083]
[-1.55672, -1.55672] ; [0.0729083, 0.07484]
[-1.54683, -1.54683] ; [0.07484, 0.0767838]
[-1.53663, -1.53663] ; [0.0767838, 0.0787397]
[-1.52611, -1.52611] ; [0.0787397, 0.0807078]
[-1.51526, -1.51526] ; [0.0807078, 0.0826882]
[-1.50409, -1.50409] ; [0.0826882, 0.084681]
[-1.49257, -1.49257] ; [0.084681, 0.0866867]
[-1.48071, -1.48071] ; [0.0866867, 0.0887055]
[-1.4685, -1.4685] ; [0.0887055, 0.0907378]
[-1.45594, -1.45593] ; [0.0907378, 0.0927843]
[-1.443, -1.443] ; [0.0927843, 0.0948455]
[-1.42968, -1.42968] ; [0.0948455, 0.0969224]
[-1.41596, -1.41596] ; [0.0969224, 0.0990159]
[-1.40184, -1.40184] ; [0.0990159, 0.101127]
[-1.3873, -1.3873] ; [0.101127, 0.103258]
[-1.37232, -1.37231] ; [0.103258, 0.105409]
[-1.35686, -1.35686] ; [0.105409, 0.107583]
[-1.34092, -1.34092] ; [0.107583, 0.109783]
[-1.32445, -1.32445] ; [0.109783, 0.112011]
[-1.30742, -1.30742] ; [0.112011, 0.114271]
[-1.28979, -1.28979] ; [0.114271, 0.116567]
[-1.27148, -1.27148] ; [0.116567, 0.118906]
[-1.25243, -1.25243] ; [0.118906, 0.121293]
[-1.23254, -1.23254] ; [0.121293, 0.123739]
[-1.21169, -1.21169] ; [0.123739, 0.126256]
[-1.18969, -1.18969] ; [0.126256, 0.12886]
[-1.1663, -1.1663] ; [0.12886, 0.131577]
[-1.14112, -1.14112] ; [0.131577, 0.134444]
[-1.11599, -1.11598] ; [0.134444, 0.137252]
[-1.09137, -1.09137] ; [0.137252, 0.139952]
[-1.06808, -1.06808] ; [0.139952, 0.142464]
[-1.04573, -1.04572] ; [0.142464, 0.144838]
[-1.02418, -1.02418] ; [0.144838, 0.147095]
[-1.00334, -1.00333] ; [0.147095, 0.14925]
[-0.983094, -0.983091] ; [0.14925, 0.151317]
[-0.963384, -0.96338] ; [0.151317, 0.153308]
[-0.944146, -0.944143] ; [0.153308, 0.15523]
[-0.925334, -0.92533] ; [0.15523, 0.15709]
[-0.906904, -0.9069] ; [0.15709, 0.158896]
[-0.888824, -0.888819] ; [0.158896, 0.160651]
[-0.871061, -0.871057] ; [0.160651, 0.162361]
[-0.853591, -0.853586] ; [0.162361, 0.164029]
[-0.83639, -0.836385] ; [0.164029, 0.165659]
[-0.819436, -0.819431] ; [0.165659, 0.167253]
[-0.802712, -0.802706] ; [0.167253, 0.168815]
[-0.7862, -0.786194] ; [0.168815, 0.170347]
[-0.769884, -0.769879] ; [0.170347, 0.171851]
[-0.753752, -0.753746] ; [0.171851, 0.173329]
[-0.737788, -0.737782] ; [0.173329, 0.174783]
[-0.721981, -0.721974] ; [0.174783, 0.176215]
[-0.706318, -0.706311] ; [0.176215, 0.177626]
[-0.690789, -0.690782] ; [0.177626, 0.179018]
[-0.675382, -0.675375] ; [0.179018, 0.180393]
[-0.660088, -0.660081] ; [0.180393, 0.181751]
[-0.644896, -0.644888] ; [0.181751, 0.183094]
[-0.629795, -0.629787] ; [0.183094, 0.184423]
[-0.614776, -0.614768] ; [0.184423, 0.18574]
[-0.599842, -0.599834] ; [0.18574, 0.187044]
[-0.585002, -0.584993] ; [0.187044, 0.188335]
[-0.570251, -0.570242] ; [0.188335, 0.189614]
[-0.55558, -0.555571] ; [0.189614, 0.190882]
[-0.540979, -0.54097] ; [0.190882, 0.192139]
[-0.526441, -0.526431] ; [0.192139, 0.193388]
[-0.511955, -0.511945] ; [0.193388, 0.194628]
[-0.497512, -0.497503] ; [0.194628, 0.195862]
[-0.483105, -0.483095] ; [0.195862, 0.197089]
[-0.468723, -0.468713] ; [0.197089, 0.198311]
[-0.454359, -0.454348] ; [0.198311, 0.199529]
[-0.440001, -0.43999] ; [0.199529, 0.200744]
[-0.425641, -0.42563] ; [0.200744, 0.201957]
[-0.41127, -0.411258] ; [0.201957, 0.203168]
[-0.396875, -0.396864] ; [0.203168, 0.204379]
[-0.382448, -0.382436] ; [0.204379, 0.205591]
[-0.367976, -0.367964] ; [0.205591, 0.206805]
[-0.353448, -0.353435] ; [0.206805, 0.208023]
[-0.338851, -0.338838] ; [0.208023, 0.209244]
[-0.324171, -0.324158] ; [0.209244, 0.210471]
[-0.309394, -0.309381] ; [0.210471, 0.211705]
[-0.294505, -0.294492] ; [0.211705, 0.212948]
[-0.279487, -0.279473] ; [0.212948, 0.2142]
[-0.26432, -0.264306] ; [0.2142, 0.215464]
[-0.248985, -0.24897] ; [0.215464, 0.216742]
[-0.233459, -0.233444] ; [0.216742, 0.218035]
[-0.217716, -0.217701] ; [0.218035, 0.219347]
[-0.201729, -0.201714] ; [0.219347, 0.220678]
[-0.185468, -0.185452] ; [0.220678, 0.222033]
[-0.168906, -0.16889] ; [0.222033, 0.223413]
[-0.152002, -0.151986] ; [0.223413, 0.224822]
[-0.134712, -0.134694] ; [0.224822, 0.226265]
[-0.11698, -0.116962] ; [0.226265, 0.227745]
[-0.0987466, -0.098728] ; [0.227745, 0.22927]
[-0.0799369, -0.0799177] ; [0.22927, 0.230844]
[-0.0604642, -0.0604442] ; [0.230844, 0.232476]
[-0.0402635, -0.0402426] ; [0.232476, 0.234173]
[-0.0215722, -0.0215506] ; [0.234173, 0.235745]
[-0.00349471, -0.00347233] ; [0.235745, 0.237269]
[0.0139467, 0.0139698] ; [0.237269, 0.238743]
[0.0308882, 0.0309121] ; [0.238743, 0.240177]
[0.0474021, 0.0474268] ; [0.240177, 0.241578]
[0.0635556, 0.0635811] ; [0.241578, 0.242952]
[0.0794011, 0.0794274] ; [0.242952, 0.244303]
[0.0949821, 0.0950092] ; [0.244303, 0.245635]
[0.110335, 0.110362] ; [0.245635, 0.24695]
[0.125489, 0.125518] ; [0.24695, 0.248253]
[0.140472, 0.140501] ; [0.248253, 0.249543]
[0.155305, 0.155335] ; [0.249543, 0.250825]
[0.170009, 0.17004] ; [0.250825, 0.252099]
[0.1846, 0.184632] ; [0.252099, 0.253367]
[0.199094, 0.199127] ; [0.253367, 0.254631]
[0.213499, 0.213532] ; [0.254631, 0.25589]
[0.227826, 0.227861] ; [0.25589, 0.257147]
[0.242088, 0.242123] ; [0.257147, 0.258403]
[0.256293, 0.256329] ; [0.258403, 0.259657]
[0.27045, 0.270488] ; [0.259657, 0.260912]
[0.284568, 0.284607] ; [0.260912, 0.262168]
[0.298655, 0.298694] ; [0.262168, 0.263425]
[0.312715, 0.312756] ; [0.263425, 0.264686]
[0.326757, 0.326798] ; [0.264686, 0.265949]
[0.340784, 0.340827] ; [0.265949, 0.267216]
[0.354803, 0.354846] ; [0.267216, 0.268487]
[0.368818, 0.368862] ; [0.268487, 0.269764]
[0.382832, 0.382877] ; [0.269764, 0.271045]
[0.396849, 0.396895] ; [0.271045, 0.272333]
[0.410873, 0.410921] ; [0.272333, 0.273627]
[0.424907, 0.424955] ; [0.273627, 0.274929]
[0.438953, 0.439002] ; [0.274929, 0.276237]
[0.453013, 0.453064] ; [0.276237, 0.277553]
[0.46709, 0.467142] ; [0.277553, 0.278878]
[0.481185, 0.481237] ; [0.278878, 0.280211]
[0.495299, 0.495352] ; [0.280211, 0.281553]
[0.509433, 0.509488] ; [0.281553, 0.282904]
[0.523588, 0.523644] ; [0.282904, 0.284265]
[0.537764, 0.537821] ; [0.284265, 0.285636]
[0.551962, 0.552021] ; [0.285636, 0.287017]
[0.566182, 0.566241] ; [0.287017, 0.288408]
[0.580423, 0.580484] ; [0.288408, 0.28981]
[0.594685, 0.594747] ; [0.28981, 0.291224]
[0.608967, 0.60903] ; [0.291224, 0.292648]
[0.623268, 0.623332] ; [0.292648, 0.294085]
