[-0.00698132, -0.00698132] ; [-0.000457814, 0]
[-0.00698103, -0.00698103] ; [0, 0.000457814]
[-0.00697908, -0.00697908] ; [0.000457814, 0.00128188]
[-0.00697101, -0.006971] ; [0.00128188, 0.0027652]
[-0.0069514, -0.00695139] ; [0.0027652, 0.00474857]
[-0.00692273, -0.0069227] ; [0.00474857, 0.00670001]
[-0.00688586, -0.00688583] ; [0.00670001, 0.00862415]
[-0.00684161, -0.00684156] ; [0.00862415, 0.0105241]
[-0.00679072, -0.00679066] ; [0.0105241, 0.0124023]
[-0.00673388, -0.00673381] ; [0.0124023, 0.0142611]
[-0.00667176, -0.00667168] ; [0.0142611, 0.0161022]
[-0.00660498, -0.00660489] ; [0.0161022, 0.0179272]
[-0.00653415, -0.00653406] ; [0.0179272, 0.0197375]
[-0.00645986, -0.00645975] ; [0.0197375, 0.0215343]
[-0.00638266, -0.00638256] ; [0.0215343, 0.0233187]
[-0.00630313, -0.00630302] ; [0.0233187, 0.0250915]
[-0.0062218, -0.00622168] ; [0.0250915, 0.0268536]
[-0.00613825, -0.00613812] ; [0.0268536, 0.0286257]
[-0.00605275, -0.00605261] ; [0.0286257, 0.0304132]
[-0.00596585, -0.0059657] ; [0.0304132, 0.0322161]
[-0.00587814, -0.00587798] ; [0.0322161, 0.0340342]
[-0.00579026, -0.0057901] ; [0.0340342, 0.0358674]
[-0.00570292, -0.00570275] ; [0.0358674, 0.0377146]
[-0.00561685, -0.00561667] ; [0.0377146, 0.0395756]
[-0.00553279, -0.0055326] ; [0.0395756, 0.0414503]
[-0.00545154, -0.00545134] ; [0.0414503, 0.0433384]
[-0.00537392, -0.00537371] ; [0.0433384, 0.0452398]
[-0.0053008, -0.00530059] ; [0.0452398, 0.0471544]
[-0.00523311, -0.00523288] ; [0.0471544, 0.0490819]
[-0.00517178, -0.00517154] ; [0.0490819, 0.0510221]
[-0.00511781, -0.00511756] ; [0.0510221, 0.0529751]
[-0.00507222, -0.00507196] ; [0.0529751, 0.0549404]
[-0.00503609, -0.00503582] ; [0.0549404, 0.0569181]
[-0.00501053, -0.00501024] ; [0.0569181, 0.0589079]
[-0.00499669, -0.00499639] ; [0.0589079, 0.0609096]
[-0.00499575, -0.00499544] ; [0.0609096, 0.0629232]
[-0.00500896, -0.00500863] ; [0.0629232, 0.0649484]
[-0.00503758, -0.00503724] ; [0.0649484, 0.0669851]
[-0.00508293, -0.00508257] ; [0.0669851, 0.0690332]
[-0.00514636, -0.00514599] ; [0.0690332, 0.0710926]
