[-1.74533, -1.74533] ; [-0.000457814, 0]
[-1.74532, -1.74532] ; [0, 0.000457814]
[-1.74527, -1.74527] ; [0.000457814, 0.00128188]
[-1.74507, -1.74507] ; [0.00128188, 0.0027652]
[-1.74456, -1.74456] ; [0.0027652, 0.00474857]
[-1.7438, -1.7438] ; [0.00474857, 0.00670001]
[-1.7428, -1.7428] ; [0.00670001, 0.00862415]
[-1.74156, -1.74156] ; [0.00862415, 0.0105241]
[-1.7401, -1.7401] ; [0.0105241, 0.0124023]
[-1.73842, -1.73842] ; [0.0124023, 0.0142611]
[-1.73652, -1.73652] ; [0.0142611, 0.0161022]
[-1.73441, -1.73441] ; [0.0161022, 0.0179272]
[-1.7321, -1.7321] ; [0.0179272, 0.0197375]
[-1.72959, -1.72959] ; [0.0197375, 0.0215343]
[-1.72687, -1.72687] ; [0.0215343, 0.0233187]
[-1.72396, -1.72396] ; [0.0233187, 0.0250915]
[-1.72086, -1.72086] ; [0.0250915, 0.0268536]
[-1.71753, -1.71753] ; [0.0268536, 0.0286257]
[-1.71396, -1.71396] ; [0.0286257, 0.0304132]
[-1.71014, -1.71014] ; [0.0304132, 0.0322161]
[-1.70606, -1.70606] ; [0.0322161, 0.0340342]
[-1.70173, -1.70173] ; [0.0340342, 0.0358674]
[-1.69713, -1.69713] ; [0.0358674, 0.0377146]
[-1.69227, -1.69227] ; [0.0377146, 0.0395756]
[-1.68714, -1.68714] ; [0.0395756, 0.0414503]
[-1.68173, -1.68173] ; [0.0414503, 0.0433384]
[-1.67603, -1.67603] ; [0.0433384, 0.0452398]
[-1.67006, -1.67006] ; [0.0452398, 0.0471544]
[-1.6638, -1.6638] ; [0.0471544, 0.0490819]
[-1.65724, -1.65724] ; [0.0490819, 0.0510221]
[-1.65038, -1.65038] ; [0.0510221, 0.0529751]
[-1.64322, -1.64322] ; [0.0529751, 0.0549404]
[-1.63576, -1.63576] ; [0.0549404, 0.0569181]
[-1.62798, -1.62798] ; [0.0569181, 0.0589079]
[-1.61989, -1.61989] ; [0.0589079, 0.0609096]
[-1.61148, -1.61148] ; [0.0609096, 0.0629232]
[-1.60275, -1.60275] ; [0.0629232, 0.0649484]
[-1.59369, -1.59369] ; [0.0649484, 0.0669851]
[-1.5843, -1.5843] ; [0.0669851, 0.0690332]
[-1.57458, -1.57458] ; [0.0690332, 0.0710926]
[-1.56451, -1.56451] ; [0.0710926, 0.073163]
[-1.55411, -1.55411] ; [0.073163, 0.0752437]
[-1.54336, -1.54336] ; [0.0752437, 0.0773345]
[-1.53227, -1.53227] ; [0.0773345, 0.0794353]
[-1.52083, -1.52083] ; [0.0794353, 0.0815463]
[-1.50903, -1.50903] ; [0.0815463, 0.0836674]
[-1.49687, -1.49687] ; [0.0836674, 0.0857988]
[-1.48435, -1.48435] ; [0.0857988, 0.0879405]
[-1.47145, -1.47145] ; [0.0879405, 0.0900927]
