[0.0383972, 0.0383972] ; [-0.000220488, 0]
[0.0383974, 0.0383974] ; [0, 0.000220488]
[0.0383988, 0.0383988] ; [0.000220488, 0.000617366]
[0.0384045, 0.0384045] ; [0.000617366, 0.00133175]
[0.0384154, 0.0384154] ; [0.00133175, 0.00212178]
[0.0384313, 0.0384313] ; [0.00212178, 0.0029222]
[0.0384522, 0.0384522] ; [0.0029222, 0.0037335]
[0.0384781, 0.0384781] ; [0.0037335, 0.00455599]
[0.0385091, 0.0385091] ; [0.00455599, 0.00539]
[0.0385451, 0.0385451] ; [0.00539, 0.00623587]
[0.0385863, 0.0385863] ; [0.00623587, 0.00709395]
[0.0386326, 0.0386326] ; [0.00709395, 0.00796463]
[0.0386841, 0.0386841] ; [0.00796463, 0.00884828]
[0.0387409, 0.0387409] ; [0.00884828, 0.00974534]
[0.038803, 0.0388031] ; [0.00974534, 0.0106562]
[0.0388705, 0.0388706] ; [0.0106562, 0.0115815]
[0.0389435, 0.0389435] ; [0.0115815, 0.0125215]
[0.039022, 0.039022] ; [0.0125215, 0.0134768]
[0.0391061, 0.0391061] ; [0.0134768, 0.014448]
[0.0391959, 0.0391959] ; [0.014448, 0.0154357]
[0.0392915, 0.0392915] ; [0.0154357, 0.0164404]
[0.039393, 0.0393931] ; [0.0164404, 0.0174629]
[0.0395013, 0.0395014] ; [0.0174629, 0.0185109]
[0.0396169, 0.039617] ; [0.0185109, 0.0195881]
[0.0397402, 0.0397403] ; [0.0195881, 0.0206961]
[0.0398715, 0.0398715] ; [0.0206961, 0.0218363]
[0.0400112, 0.0400112] ; [0.0218363, 0.0230107]
[0.0401597, 0.0401598] ; [0.0230107, 0.024221]
[0.0403176, 0.0403176] ; [0.024221, 0.0254695]
[0.0404853, 0.0404853] ; [0.0254695, 0.0267583]
[0.0406634, 0.0406634] ; [0.0267583, 0.0280901]
[0.0408525, 0.0408526] ; [0.0280901, 0.0294673]
[0.0410533, 0.0410534] ; [0.0294673, 0.0308928]
[0.0412665, 0.0412666] ; [0.0308928, 0.0323699]
[0.041493, 0.0414931] ; [0.0323699, 0.0339021]
[0.0417338, 0.0417339] ; [0.0339021, 0.0354935]
[0.0419898, 0.0419899] ; [0.0354935, 0.0371486]
[0.0422623, 0.0422624] ; [0.0371486, 0.0388722]
[0.0425526, 0.0425528] ; [0.0388722, 0.0406698]
[0.0428622, 0.0428624] ; [0.0406698, 0.0425474]
[0.0431927, 0.0431929] ; [0.0425474, 0.0445112]
[0.043546, 0.0435462] ; [0.0445112, 0.0465682]
[0.0439238, 0.043924] ; [0.0465682, 0.0487253]
[0.0443096, 0.0443099] ; [0.0487253, 0.0508863]
[0.0447013, 0.0447016] ; [0.0508863, 0.0530407]
[0.0450995, 0.0450998] ; [0.0530407, 0.055193]
[0.0455046, 0.0455049] ; [0.055193, 0.0573472]
[0.0459171, 0.0459174] ; [0.0573472, 0.0595065]
[0.0463374, 0.0463378] ; [0.0595065, 0.061674]
[0.0467662, 0.0467666] ; [0.061674, 0.0638525]
[0.0472038, 0.0472043] ; [0.0638525, 0.0660446]
[0.0476508, 0.0476513] ; [0.0660446, 0.0682532]
[0.0481077, 0.0481082] ; [0.0682532, 0.0704808]
[0.0485752, 0.0485757] ; [0.0704808, 0.0727304]
[0.0490538, 0.0490544] ; [0.0727304, 0.0750047]
[0.0495444, 0.0495451] ; [0.0750047, 0.0773072]
[0.0500478, 0.0500485] ; [0.0773072, 0.0796413]
[0.0505649, 0.0505656] ; [0.0796413, 0.082011]
[0.0510968, 0.0510976] ; [0.082011, 0.084421]
[0.0516448, 0.0516457] ; [0.084421, 0.0868765]
[0.0522105, 0.0522114] ; [0.0868765, 0.0893842]
[0.0527956, 0.0527966] ; [0.0893842, 0.0919517]
[0.0534026, 0.0534036] ; [0.0919517, 0.0945884]
