[0.872665, 0.872665] ; [-0.000220488, 0]
[0.872663, 0.872663] ; [0, 0.000220488]
[0.872655, 0.872655] ; [0.000220488, 0.000617366]
[0.872618, 0.872618] ; [0.000617366, 0.00133175]
[0.872545, 0.872545] ; [0.00133175, 0.00212178]
[0.872439, 0.872439] ; [0.00212178, 0.0029222]
[0.872296, 0.872296] ; [0.0029222, 0.0037335]
[0.872116, 0.872116] ; [0.0037335, 0.00455599]
[0.871898, 0.871898] ; [0.00455599, 0.00539]
[0.871639, 0.871639] ; [0.00539, 0.00623587]
[0.871338, 0.871338] ; [0.00623587, 0.00709395]
[0.870994, 0.870994] ; [0.00709395, 0.00796463]
[0.870605, 0.870605] ; [0.00796463, 0.00884828]
[0.870168, 0.870168] ; [0.00884828, 0.00974534]
[0.869683, 0.869683] ; [0.00974534, 0.0106562]
[0.869146, 0.869146] ; [0.0106562, 0.0115815]
[0.868555, 0.868555] ; [0.0115815, 0.0125215]
[0.867909, 0.867909] ; [0.0125215, 0.0134768]
[0.867204, 0.867204] ; [0.0134768, 0.014448]
[0.866438, 0.866438] ; [0.014448, 0.0154357]
[0.865607, 0.865607] ; [0.0154357, 0.0164404]
[0.86471, 0.86471] ; [0.0164404, 0.0174629]
[0.863735, 0.863735] ; [0.0174629, 0.0185109]
[0.862676, 0.862676] ; [0.0185109, 0.0195881]
[0.861525, 0.861525] ; [0.0195881, 0.0206961]
[0.860277, 0.860277] ; [0.0206961, 0.0218363]
[0.858924, 0.858924] ; [0.0218363, 0.0230107]
[0.857457, 0.857457] ; [0.0230107, 0.024221]
[0.855867, 0.855867] ; [0.024221, 0.0254695]
[0.854146, 0.854146] ; [0.0254695, 0.0267583]
[0.85228, 0.85228] ; [0.0267583, 0.0280901]
[0.85026, 0.85026] ; [0.0280901, 0.0294673]
[0.84807, 0.84807] ; [0.0294673, 0.0308928]
[0.845697, 0.845697] ; [0.0308928, 0.0323699]
[0.843122, 0.843122] ; [0.0323699, 0.0339021]
[0.840328, 0.840328] ; [0.0339021, 0.0354935]
[0.837292, 0.837292] ; [0.0354935, 0.0371486]
[0.83399, 0.83399] ; [0.0371486, 0.0388722]
[0.830395, 0.830395] ; [0.0388722, 0.0406698]
[0.826475, 0.826475] ; [0.0406698, 0.0425474]
[0.822197, 0.822197] ; [0.0425474, 0.0445112]
[0.81752, 0.81752] ; [0.0445112, 0.0465682]
[0.812403, 0.812403] ; [0.0465682, 0.0487253]
[0.807059, 0.80706] ; [0.0487253, 0.0508863]
[0.801517, 0.801517] ; [0.0508863, 0.0530407]
[0.795767, 0.795767] ; [0.0530407, 0.055193]
[0.7898, 0.7898] ; [0.055193, 0.0573472]
[0.783608, 0.783608] ; [0.0573472, 0.0595065]
[0.777181, 0.777182] ; [0.0595065, 0.061674]
[0.770511, 0.770511] ; [0.061674, 0.0638525]
[0.763587, 0.763587] ; [0.0638525, 0.0660446]
[0.756398, 0.756398] ; [0.0660446, 0.0682532]
[0.748932, 0.748932] ; [0.0682532, 0.0704808]
[0.741175, 0.741176] ; [0.0704808, 0.0727304]
[0.733114, 0.733114] ; [0.0727304, 0.0750047]
[0.72473, 0.724731] ; [0.0750047, 0.0773072]
[0.716005, 0.716006] ; [0.0773072, 0.0796413]
[0.706918, 0.706918] ; [0.0796413, 0.082011]
[0.697441, 0.697441] ; [0.082011, 0.084421]
[0.687544, 0.687545] ; [0.084421, 0.0868765]
[0.67719, 0.677191] ; [0.0868765, 0.0893842]
[0.666335, 0.666336] ; [0.0893842, 0.0919517]
[0.654923, 0.654924] ; [0.0919517, 0.0945884]
[0.643208, 0.64321] ; [0.0945884, 0.0972339]
[0.631554, 0.631555] ; [0.0972339, 0.0998095]
[0.61993, 0.619932] ; [0.0998095, 0.102326]
[0.60834, 0.608342] ; [0.102326, 0.104789]
[0.596782, 0.596784] ; [0.104789, 0.107201]
[0.585252, 0.585254] ; [0.107201, 0.109566]
[0.573747, 0.573749] ; [0.109566, 0.111888]
[0.562262, 0.562265] ; [0.111888, 0.114172]
[0.550795, 0.550797] ; [0.114172, 0.116419]
[0.53934, 0.539343] ; [0.116419, 0.118633]
[0.527894, 0.527896] ; [0.118633, 0.120817]
[0.516451, 0.516454] ; [0.120817, 0.122974]
[0.505042, 0.505045] ; [0.122974, 0.125098]
[0.493669, 0.493672] ; [0.125098, 0.127193]
