[0.0383972, 0.0383972] ; [-0.000292693, 0]
[0.0383976, 0.0383976] ; [0, 0.000292693]
[0.0384, 0.0384] ; [0.000292693, 0.000819541]
[0.0384101, 0.0384101] ; [0.000819541, 0.00176787]
[0.0384369, 0.0384369] ; [0.00176787, 0.00311555]
[0.0384785, 0.0384785] ; [0.00311555, 0.00448263]
[0.0385353, 0.0385353] ; [0.00448263, 0.00587139]
[0.0386076, 0.0386076] ; [0.00587139, 0.00728271]
[0.0386959, 0.0386959] ; [0.00728271, 0.00871754]
[0.0388003, 0.0388004] ; [0.00871754, 0.0101769]
[0.0389215, 0.0389216] ; [0.0101769, 0.011662]
[0.0390599, 0.0390599] ; [0.011662, 0.013174]
[0.039216, 0.039216] ; [0.013174, 0.0147141]
[0.0393903, 0.0393904] ; [0.0147141, 0.016284]
[0.0395836, 0.0395837] ; [0.016284, 0.0178851]
[0.0397993, 0.0397994] ; [0.0178851, 0.0195392]
[0.0400395, 0.0400395] ; [0.0195392, 0.0212535]
[0.040306, 0.0403061] ; [0.0212535, 0.0230318]
[0.0406012, 0.0406013] ; [0.0230318, 0.0248786]
[0.0409274, 0.0409275] ; [0.0248786, 0.0267992]
[0.0412822, 0.0412823] ; [0.0267992, 0.0287713]
[0.0416581, 0.0416582] ; [0.0287713, 0.0307513]
[0.042055, 0.0420551] ; [0.0307513, 0.0327391]
[0.0424726, 0.0424727] ; [0.0327391, 0.0347354]
[0.0429109, 0.0429111] ; [0.0347354, 0.0367409]
[0.04337, 0.0433701] ; [0.0367409, 0.0387562]
[0.0438498, 0.04385] ; [0.0387562, 0.0407819]
[0.0443505, 0.0443506] ; [0.0407819, 0.0428188]
[0.0448721, 0.0448723] ; [0.0428188, 0.0448673]
[0.0454148, 0.045415] ; [0.0448673, 0.0469281]
[0.0459788, 0.045979] ; [0.0469281, 0.049002]
[0.0465644, 0.0465646] ; [0.049002, 0.0510895]
[0.0471719, 0.0471721] ; [0.0510895, 0.0531916]
[0.0478015, 0.0478018] ; [0.0531916, 0.0553089]
[0.0484538, 0.0484541] ; [0.0553089, 0.0574423]
[0.0491292, 0.0491295] ; [0.0574423, 0.0595929]
[0.0498282, 0.0498285] ; [0.0595929, 0.0617616]
[0.0505514, 0.0505518] ; [0.0617616, 0.0639495]
[0.0512996, 0.0512999] ; [0.0639495, 0.0661581]
[0.0520735, 0.0520739] ; [0.0661581, 0.0683886]
[0.052874, 0.0528744] ; [0.0683886, 0.0706428]
[0.0537021, 0.0537025] ; [0.0706428, 0.0729224]
[0.0545591, 0.0545595] ; [0.0729224, 0.0752296]
[0.0554461, 0.0554466] ; [0.0752296, 0.0775667]
[0.0563649, 0.0563654] ; [0.0775667, 0.0799365]
[0.0573171, 0.0573176] ; [0.0799365, 0.0823424]
[0.0583049, 0.0583055] ; [0.0823424, 0.0847881]
[0.0593308, 0.0593314] ; [0.0847881, 0.0872783]
[0.0603978, 0.0603984] ; [0.0872783, 0.0898185]
[0.0615096, 0.0615102] ; [0.0898185, 0.0924156]
[0.0626706, 0.0626713] ; [0.0924156, 0.095078]
[0.0638868, 0.0638876] ; [0.095078, 0.0978169]
[0.0651656, 0.0651664] ; [0.0978169, 0.100647]
[0.0665009, 0.0665018] ; [0.100647, 0.103551]
[0.0678104, 0.0678114] ; [0.103551, 0.106355]
[0.0690981, 0.0690991] ; [0.106355, 0.109073]
[0.0703653, 0.0703663] ; [0.109073, 0.111714]
[0.0716133, 0.0716144] ; [0.111714, 0.114285]
[0.0728432, 0.0728444] ; [0.114285, 0.116794]
[0.0740562, 0.0740574] ; [0.116794, 0.119246]
[0.075253, 0.0752543] ; [0.119246, 0.121647]
[0.0764344, 0.0764357] ; [0.121647, 0.124002]
[0.077601, 0.0776024] ; [0.124002, 0.126315]
[0.0787534, 0.0787548] ; [0.126315, 0.12859]
[0.0798921, 0.0798935] ; [0.12859, 0.130831]
[0.0810174, 0.0810189] ; [0.130831, 0.13304]
[0.0821298, 0.0821313] ; [0.13304, 0.135221]
