[0.872665, 0.872665] ; [-0.000292693, 0]
[0.872662, 0.872662] ; [0, 0.000292693]
[0.872647, 0.872647] ; [0.000292693, 0.000819541]
[0.872582, 0.872582] ; [0.000819541, 0.00176787]
[0.872407, 0.872407] ; [0.00176787, 0.00311555]
[0.872132, 0.872132] ; [0.00311555, 0.00448263]
[0.871752, 0.871752] ; [0.00448263, 0.00587139]
[0.871262, 0.871262] ; [0.00587139, 0.00728271]
[0.870656, 0.870656] ; [0.00728271, 0.00871754]
[0.86993, 0.86993] ; [0.00871754, 0.0101769]
[0.869076, 0.869076] ; [0.0101769, 0.011662]
[0.868089, 0.868089] ; [0.011662, 0.013174]
[0.866962, 0.866962] ; [0.013174, 0.0147141]
[0.865687, 0.865687] ; [0.0147141, 0.016284]
[0.864255, 0.864255] ; [0.016284, 0.0178851]
[0.862638, 0.862638] ; [0.0178851, 0.0195392]
[0.860813, 0.860813] ; [0.0195392, 0.0212535]
[0.858762, 0.858762] ; [0.0212535, 0.0230318]
[0.856461, 0.856461] ; [0.0230318, 0.0248786]
[0.853884, 0.853884] ; [0.0248786, 0.0267992]
[0.851044, 0.851045] ; [0.0267992, 0.0287713]
[0.847996, 0.847996] ; [0.0287713, 0.0307513]
[0.844738, 0.844739] ; [0.0307513, 0.0327391]
[0.841268, 0.841268] ; [0.0327391, 0.0347354]
[0.837582, 0.837582] ; [0.0347354, 0.0367409]
[0.833678, 0.833678] ; [0.0367409, 0.0387562]
[0.829552, 0.829552] ; [0.0387562, 0.0407819]
[0.825201, 0.825201] ; [0.0407819, 0.0428188]
[0.820621, 0.820621] ; [0.0428188, 0.0448673]
[0.815808, 0.815808] ; [0.0448673, 0.0469281]
[0.810758, 0.810758] ; [0.0469281, 0.049002]
[0.805467, 0.805467] ; [0.049002, 0.0510895]
[0.799929, 0.799929] ; [0.0510895, 0.0531916]
[0.794139, 0.79414] ; [0.0531916, 0.0553089]
[0.788093, 0.788093] ; [0.0553089, 0.0574423]
[0.781782, 0.781783] ; [0.0574423, 0.0595929]
[0.775202, 0.775202] ; [0.0595929, 0.0617616]
[0.768344, 0.768344] ; [0.0617616, 0.0639495]
[0.761199, 0.7612] ; [0.0639495, 0.0661581]
[0.75376, 0.75376] ; [0.0661581, 0.0683886]
[0.746015, 0.746015] ; [0.0683886, 0.0706428]
[0.737953, 0.737953] ; [0.0706428, 0.0729224]
[0.72956, 0.729561] ; [0.0729224, 0.0752296]
[0.720822, 0.720823] ; [0.0752296, 0.0775667]
[0.711722, 0.711722] ; [0.0775667, 0.0799365]
[0.702238, 0.702239] ; [0.0799365, 0.0823424]
[0.692348, 0.692349] ; [0.0823424, 0.0847881]
[0.682023, 0.682023] ; [0.0847881, 0.0872783]
[0.671229, 0.671229] ; [0.0872783, 0.0898185]
[0.659923, 0.659924] ; [0.0898185, 0.0924156]
[0.648056, 0.648056] ; [0.0924156, 0.095078]
[0.635559, 0.63556] ; [0.095078, 0.0978169]
[0.622346, 0.622347] ; [0.0978169, 0.100647]
[0.608471, 0.608472] ; [0.100647, 0.103551]
[0.594784, 0.594786] ; [0.103551, 0.106355]
[0.581248, 0.581249] ; [0.106355, 0.109073]
[0.567848, 0.567849] ; [0.109073, 0.111714]
[0.554571, 0.554572] ; [0.111714, 0.114285]
[0.541405, 0.541406] ; [0.114285, 0.116794]
