[0.0383972, 0.0383972] ; [-0.000286634, 0]
[0.0383976, 0.0383976] ; [0, 0.000286634]
[0.0383999, 0.0383999] ; [0.000286634, 0.000802576]
[0.0384095, 0.0384095] ; [0.000802576, 0.00173127]
[0.0384261, 0.0384261] ; [0.00173127, 0.00267245]
[0.0384498, 0.0384498] ; [0.00267245, 0.00362613]
[0.0384806, 0.0384806] ; [0.00362613, 0.00459266]
[0.0385186, 0.0385186] ; [0.00459266, 0.00557242]
[0.0385638, 0.0385638] ; [0.00557242, 0.00656578]
[0.0386164, 0.0386164] ; [0.00656578, 0.00757316]
[0.0386763, 0.0386763] ; [0.00757316, 0.00859499]
[0.0387437, 0.0387437] ; [0.00859499, 0.00963173]
[0.0388187, 0.0388187] ; [0.00963173, 0.0106838]
[0.0389013, 0.0389013] ; [0.0106838, 0.0117518]
[0.0389917, 0.0389917] ; [0.0117518, 0.0128363]
[0.03909, 0.03909] ; [0.0128363, 0.0139377]
[0.0391962, 0.0391962] ; [0.0139377, 0.0150567]
[0.0393106, 0.0393107] ; [0.0150567, 0.016194]
[0.0394333, 0.0394334] ; [0.016194, 0.0173501]
[0.0395652, 0.0395653] ; [0.0173501, 0.0185326]
[0.0397074, 0.0397074] ; [0.0185326, 0.0197482]
[0.0398602, 0.0398603] ; [0.0197482, 0.0209984]
[0.0400243, 0.0400244] ; [0.0209984, 0.022285]
[0.0402002, 0.0402003] ; [0.022285, 0.0236097]
[0.0403886, 0.0403886] ; [0.0236097, 0.0249747]
[0.04059, 0.0405901] ; [0.0249747, 0.0263822]
[0.0408052, 0.0408053] ; [0.0263822, 0.0278344]
[0.0410352, 0.0410352] ; [0.0278344, 0.0293342]
[0.0412806, 0.0412807] ; [0.0293342, 0.0308843]
[0.0415426, 0.0415427] ; [0.0308843, 0.0324881]
[0.0418222, 0.0418223] ; [0.0324881, 0.0341491]
[0.0421206, 0.0421207] ; [0.0341491, 0.0358713]
[0.0424392, 0.0424393] ; [0.0358713, 0.0376585]
[0.0427791, 0.0427792] ; [0.0376585, 0.0395143]
[0.043142, 0.0431422] ; [0.0395143, 0.0414435]
[0.0435296, 0.0435298] ; [0.0414435, 0.043451]
[0.0439437, 0.0439438] ; [0.043451, 0.045542]
[0.0443861, 0.0443863] ; [0.045542, 0.0477219]
[0.0448558, 0.044856] ; [0.0477219, 0.0499804]
[0.0453359, 0.0453362] ; [0.0499804, 0.0522365]
[0.0458273, 0.0458275] ; [0.0522365, 0.0544951]
[0.0463302, 0.0463305] ; [0.0544951, 0.0567595]
[0.0468453, 0.0468456] ; [0.0567595, 0.059033]
[0.047373, 0.0473733] ; [0.059033, 0.0613185]
[0.0479139, 0.0479142] ; [0.0613185, 0.0636191]
[0.0484686, 0.048469] ; [0.0636191, 0.0659376]
[0.0490379, 0.0490383] ; [0.0659376, 0.068277]
[0.0496224, 0.0496229] ; [0.068277, 0.0706407]
[0.0502233, 0.0502238] ; [0.0706407, 0.0730319]
[0.0508413, 0.0508419] ; [0.0730319, 0.0754545]
[0.0514778, 0.0514784] ; [0.0754545, 0.0779127]
[0.0521341, 0.0521347] ; [0.0779127, 0.0804115]
[0.0528119, 0.0528126] ; [0.0804115, 0.0829564]
[0.0535131, 0.0535138] ; [0.0829564, 0.0855544]
[0.0542403, 0.0542411] ; [0.0855544, 0.0882137]
[0.0549964, 0.0549973] ; [0.0882137, 0.0909447]
[0.0557856, 0.0557865] ; [0.0909447, 0.0937608]
[0.0565663, 0.0565673] ; [0.0937608, 0.0965158]
[0.0573385, 0.0573396] ; [0.0965158, 0.0992139]
[0.0581018, 0.0581029] ; [0.0992139, 0.101857]
[0.0588553, 0.0588565] ; [0.101857, 0.104446]
[0.0595976, 0.0595989] ; [0.104446, 0.106979]
[0.0603291, 0.0603304] ; [0.106979, 0.10946]
[0.0610498, 0.0610512] ; [0.10946, 0.111894]
[0.0617602, 0.0617617] ; [0.111894, 0.114284]
[0.0624605, 0.062462] ; [0.114284, 0.116633]
[0.063151, 0.0631525] ; [0.116633, 0.118945]
[0.0638318, 0.0638334] ; [0.118945, 0.121222]
[0.0645032, 0.0645048] ; [0.121222, 0.123468]
[0.0651654, 0.065167] ; [0.123468, 0.125685]
[0.0658168, 0.0658185] ; [0.125685, 0.127871]
[0.066458, 0.0664597] ; [0.127871, 0.130028]
[0.0670889, 0.0670907] ; [0.130028, 0.132158]
[0.06771, 0.0677118] ; [0.132158, 0.134266]
[0.0683212, 0.0683231] ; [0.134266, 0.136351]
[0.0689228, 0.0689247] ; [0.136351, 0.138417]
[0.0695147, 0.0695167] ; [0.138417, 0.140466]
[0.0700971, 0.0700991] ; [0.140466, 0.1425]
[0.07067, 0.0706721] ; [0.1425, 0.144519]
[0.0712333, 0.0712355] ; [0.144519, 0.146526]
[0.0717872, 0.0717894] ; [0.146526, 0.148523]
[0.0723314, 0.0723337] ; [0.148523, 0.150511]
[0.072866, 0.0728683] ; [0.150511, 0.152492]
[0.073391, 0.0733933] ; [0.152492, 0.154466]
[0.0739061, 0.0739085] ; [0.154466, 0.156436]
[0.0744113, 0.0744138] ; [0.156436, 0.158404]
[0.0749064, 0.074909] ; [0.158404, 0.16037]
[0.0753914, 0.075394] ; [0.16037, 0.162336]
[0.0758659, 0.0758686] ; [0.162336, 0.164304]
[0.0763299, 0.0763327] ; [0.164304, 0.166274]
[0.0767831, 0.0767859] ; [0.166274, 0.16825]
[0.0772253, 0.0772282] ; [0.16825, 0.170231]
[0.0776561, 0.0776591] ; [0.170231, 0.172221]
[0.0780754, 0.0780785] ; [0.172221, 0.174221]
