[-0.00349066, -0.00349066] ; [-0.000194829, 0]
[-0.0034921, -0.0034921] ; [0, 0.000194829]
[-0.00350192, -0.00350192] ; [0.000194829, 0.000545522]
[-0.00352727, -0.00352726] ; [0.000545522, 0.00098588]
[-0.00356721, -0.00356721] ; [0.00098588, 0.00142927]
[-0.00362177, -0.00362177] ; [0.00142927, 0.00187524]
[-0.00369098, -0.00369098] ; [0.00187524, 0.00232382]
[-0.00377488, -0.00377487] ; [0.00232382, 0.00277502]
[-0.00387349, -0.00387349] ; [0.00277502, 0.00322888]
[-0.00398687, -0.00398686] ; [0.00322888, 0.0036854]
[-0.00411503, -0.00411502] ; [0.0036854, 0.00414462]
[-0.00425802, -0.00425801] ; [0.00414462, 0.00460656]
[-0.00441588, -0.00441587] ; [0.00460656, 0.00507124]
[-0.00458864, -0.00458863] ; [0.00507124, 0.00553868]
[-0.00477633, -0.00477632] ; [0.00553868, 0.0060089]
[-0.00497901, -0.004979] ; [0.0060089, 0.00648194]
[-0.0051967, -0.00519669] ; [0.00648194, 0.0069578]
[-0.00542944, -0.00542943] ; [0.0069578, 0.00743653]
[-0.00567729, -0.00567727] ; [0.00743653, 0.00791813]
[-0.00594026, -0.00594025] ; [0.00791813, 0.00840265]
[-0.00621842, -0.0062184] ; [0.00840265, 0.00889009]
[-0.00651179, -0.00651177] ; [0.00889009, 0.0093805]
[-0.00682063, -0.00682061] ; [0.0093805, 0.00987421]
[-0.00714714, -0.00714712] ; [0.00987421, 0.0103745]
[-0.00749169, -0.00749167] ; [0.0103745, 0.0108813]
[-0.00785463, -0.00785462] ; [0.0108813, 0.0113949]
[-0.00823634, -0.00823632] ; [0.0113949, 0.0119152]
[-0.00863716, -0.00863714] ; [0.0119152, 0.0124424]
[-0.00905747, -0.00905745] ; [0.0124424, 0.0129765]
[-0.00949764, -0.00949761] ; [0.0129765, 0.0135176]
[-0.00995804, -0.00995801] ; [0.0135176, 0.0140657]
[-0.010439, -0.010439] ; [0.0140657, 0.014621]
[-0.010941, -0.010941] ; [0.014621, 0.0151835]
[-0.0114644, -0.0114644] ; [0.0151835, 0.0157534]
[-0.0120095, -0.0120095] ; [0.0157534, 0.0163307]
[-0.0125768, -0.0125768] ; [0.0163307, 0.0169154]
[-0.0131666, -0.0131666] ; [0.0169154, 0.0175078]
[-0.0137793, -0.0137793] ; [0.0175078, 0.0181079]
[-0.0144154, -0.0144154] ; [0.0181079, 0.0187158]
[-0.0150752, -0.0150752] ; [0.0187158, 0.0193316]
[-0.0157592, -0.0157592] ; [0.0193316, 0.0199555]
[-0.0164678, -0.0164677] ; [0.0199555, 0.0205874]
[-0.0172013, -0.0172013] ; [0.0205874, 0.0212276]
[-0.0179603, -0.0179602] ; [0.0212276, 0.0218761]
[-0.0187451, -0.0187451] ; [0.0218761, 0.022533]
[-0.0195562, -0.0195562] ; [0.022533, 0.0231986]
[-0.020394, -0.020394] ; [0.0231986, 0.0238728]
[-0.021259, -0.021259] ; [0.0238728, 0.0245559]
[-0.0221516, -0.0221516] ; [0.0245559, 0.0252479]
[-0.0230723, -0.0230723] ; [0.0252479, 0.025949]
[-0.0240216, -0.0240215] ; [0.025949, 0.0266594]
[-0.0249998, -0.0249998] ; [0.0266594, 0.027379]
[-0.0260076, -0.0260075] ; [0.027379, 0.0281082]
[-0.0270453, -0.0270452] ; [0.0281082, 0.028847]
[-0.0281135, -0.0281134] ; [0.028847, 0.0295956]
[-0.0292126, -0.0292126] ; [0.0295956, 0.0303542]
[-0.0303432, -0.0303431] ; [0.0303542, 0.0311228]
[-0.0315057, -0.0315057] ; [0.0311228, 0.0319016]
[-0.0327007, -0.0327006] ; [0.0319016, 0.0326908]
[-0.0339285, -0.0339285] ; [0.0326908, 0.0334906]
[-0.0351899, -0.0351898] ; [0.0334906, 0.034301]
[-0.0364851, -0.036485] ; [0.034301, 0.0351222]
[-0.0378149, -0.0378148] ; [0.0351222, 0.0359545]
[-0.0391797, -0.0391796] ; [0.0359545, 0.0367979]
[-0.0405801, -0.0405799] ; [0.0367979, 0.0376526]
[-0.0420165, -0.0420164] ; [0.0376526, 0.0385189]
[-0.0434896, -0.0434894] ; [0.0385189, 0.0393969]
[-0.0449998, -0.0449997] ; [0.0393969, 0.0402867]
[-0.0465478, -0.0465476] ; [0.0402867, 0.0411885]
[-0.048134, -0.0481338] ; [0.0411885, 0.0421025]
[-0.049759, -0.0497588] ; [0.0421025, 0.0430289]
[-0.0514233, -0.0514232] ; [0.0430289, 0.0439679]
[-0.0531275, -0.0531274] ; [0.0439679, 0.0449195]
[-0.0548721, -0.0548719] ; [0.0449195, 0.0458841]
[-0.0566576, -0.0566574] ; [0.0458841, 0.0468616]
[-0.0584845, -0.0584844] ; [0.0468616, 0.0478524]
[-0.0603534, -0.0603532] ; [0.0478524, 0.0488566]
[-0.0622647, -0.0622645] ; [0.0488566, 0.0498742]
[-0.0642188, -0.0642186] ; [0.0498742, 0.0509056]
[-0.0662163, -0.0662161] ; [0.0509056, 0.0519507]
[-0.0682575, -0.0682573] ; [0.0519507, 0.0530097]
