[-0.00349066, -0.00349066] ; [-0.000194829, 0]
[-0.0034921, -0.0034921] ; [0, 0.000194829]
[-0.00350192, -0.00350192] ; [0.000194829, 0.000545522]
[-0.00352599, -0.00352599] ; [0.000545522, 0.0009688]
[-0.00356353, -0.00356353] ; [0.0009688, 0.00139491]
[-0.00361455, -0.00361455] ; [0.00139491, 0.00182352]
[-0.00367908, -0.00367908] ; [0.00182352, 0.00225465]
[-0.00375715, -0.00375715] ; [0.00225465, 0.00268832]
[-0.00384879, -0.00384878] ; [0.00268832, 0.00312455]
[-0.00395402, -0.00395402] ; [0.00312455, 0.00356337]
[-0.00407289, -0.00407288] ; [0.00356337, 0.00400479]
[-0.00420541, -0.00420541] ; [0.00400479, 0.00444885]
[-0.00435163, -0.00435162] ; [0.00444885, 0.00489555]
[-0.00451156, -0.00451156] ; [0.00489555, 0.00534494]
[-0.00468526, -0.00468525] ; [0.00534494, 0.00579702]
[-0.00487273, -0.00487272] ; [0.00579702, 0.00625183]
[-0.00507403, -0.00507402] ; [0.00625183, 0.00670939]
[-0.00528919, -0.00528918] ; [0.00670939, 0.00716972]
[-0.00551823, -0.00551822] ; [0.00716972, 0.00763284]
[-0.0057612, -0.00576118] ; [0.00763284, 0.00809879]
[-0.00601812, -0.00601811] ; [0.00809879, 0.00856759]
[-0.00628904, -0.00628903] ; [0.00856759, 0.00903927]
[-0.006574, -0.00657398] ; [0.00903927, 0.00951384]
[-0.00687364, -0.00687363] ; [0.00951384, 0.00999232]
[-0.00718963, -0.00718962] ; [0.00999232, 0.010477]
[-0.00752229, -0.00752227] ; [0.010477, 0.0109681]
[-0.00787192, -0.0078719] ; [0.0109681, 0.0114655]
[-0.00823886, -0.00823884] ; [0.0114655, 0.0119694]
[-0.00862342, -0.0086234] ; [0.0119694, 0.0124798]
[-0.00902593, -0.00902591] ; [0.0124798, 0.0129968]
[-0.00944672, -0.0094467] ; [0.0129968, 0.0135206]
[-0.00988612, -0.0098861] ; [0.0135206, 0.014051]
[-0.0103445, -0.0103444] ; [0.014051, 0.0145884]
[-0.0108221, -0.0108221] ; [0.0145884, 0.0151326]
[-0.0113194, -0.0113193] ; [0.0151326, 0.0156839]
[-0.0118366, -0.0118366] ; [0.0156839, 0.0162424]
[-0.0123741, -0.0123741] ; [0.0162424, 0.016808]
[-0.0129323, -0.0129323] ; [0.016808, 0.0173809]
[-0.0135116, -0.0135115] ; [0.0173809, 0.0179612]
[-0.0141122, -0.0141121] ; [0.0179612, 0.0185491]
[-0.0147345, -0.0147345] ; [0.0185491, 0.0191445]
[-0.015379, -0.015379] ; [0.0191445, 0.0197476]
[-0.016046, -0.016046] ; [0.0197476, 0.0203586]
[-0.0167358, -0.0167358] ; [0.0203586, 0.0209775]
[-0.0174489, -0.0174489] ; [0.0209775, 0.0216044]
[-0.0181857, -0.0181856] ; [0.0216044, 0.0222395]
[-0.0189464, -0.0189464] ; [0.0222395, 0.0228829]
[-0.0197316, -0.0197316] ; [0.0228829, 0.0235347]
[-0.0205416, -0.0205416] ; [0.0235347, 0.0241951]
[-0.0213769, -0.0213768] ; [0.0241951, 0.0248641]
[-0.0222378, -0.0222378] ; [0.0248641, 0.0255419]
[-0.0231248, -0.0231248] ; [0.0255419, 0.0262286]
[-0.0240384, -0.0240383] ; [0.0262286, 0.0269244]
[-0.0249788, -0.0249788] ; [0.0269244, 0.0276295]
[-0.0259467, -0.0259466] ; [0.0276295, 0.0283439]
[-0.0269424, -0.0269423] ; [0.0283439, 0.0290678]
[-0.0279664, -0.0279663] ; [0.0290678, 0.0298014]
[-0.0290191, -0.029019] ; [0.0298014, 0.0305448]
[-0.030101, -0.0301009] ; [0.0305448, 0.0312982]
[-0.0312126, -0.0312125] ; [0.0312982, 0.0320617]
[-0.0323542, -0.0323542] ; [0.0320617, 0.0328355]
[-0.0335265, -0.0335264] ; [0.0328355, 0.0336198]
[-0.0347299, -0.0347298] ; [0.0336198, 0.0344147]
[-0.0359649, -0.0359648] ; [0.0344147, 0.0352204]
[-0.0372321, -0.037232] ; [0.0352204, 0.0360371]
[-0.0385318, -0.0385317] ; [0.0360371, 0.036865]
[-0.0398646, -0.0398645] ; [0.036865, 0.0377042]
[-0.0412312, -0.041231] ; [0.0377042, 0.038555]
[-0.0426318, -0.0426317] ; [0.038555, 0.0394175]
[-0.0440672, -0.0440671] ; [0.0394175, 0.0402919]
[-0.0455379, -0.0455378] ; [0.0402919, 0.0411785]
[-0.0470443, -0.0470442] ; [0.0411785, 0.0420773]
[-0.0485871, -0.0485869] ; [0.0420773, 0.0429887]
[-0.0501667, -0.0501665] ; [0.0429887, 0.0439128]
[-0.0517837, -0.0517835] ; [0.0439128, 0.0448498]
[-0.0534386, -0.0534385] ; [0.0448498, 0.0457999]
[-0.055132, -0.0551319] ; [0.0457999, 0.0467633]
[-0.0568645, -0.0568643] ; [0.0467633, 0.0477402]
[-0.0586364, -0.0586363] ; [0.0477402, 0.0487307]
[-0.0604485, -0.0604483] ; [0.0487307, 0.0497352]
[-0.062301, -0.0623009] ; [0.0497352, 0.0507537]
