[0.233874, 0.233874] ; [-0.000259165, 0]
[0.233875, 0.233875] ; [0, 0.000259165]
[0.233884, 0.233884] ; [0.000259165, 0.000725663]
[0.233907, 0.233907] ; [0.000725663, 0.00133409]
[0.233945, 0.233945] ; [0.00133409, 0.0019472]
[0.233996, 0.233996] ; [0.0019472, 0.00256445]
[0.23406, 0.23406] ; [0.00256445, 0.00318589]
[0.234139, 0.234139] ; [0.00318589, 0.00381157]
[0.234231, 0.234231] ; [0.00381157, 0.00444153]
[0.234337, 0.234337] ; [0.00444153, 0.00507581]
[0.234456, 0.234456] ; [0.00507581, 0.00571447]
[0.23459, 0.23459] ; [0.00571447, 0.00635754]
[0.234737, 0.234737] ; [0.00635754, 0.00700509]
[0.234897, 0.234897] ; [0.00700509, 0.00765716]
[0.235071, 0.235071] ; [0.00765716, 0.00831379]
[0.235259, 0.235259] ; [0.00831379, 0.00897504]
[0.235461, 0.235461] ; [0.00897504, 0.00964096]
[0.235676, 0.235676] ; [0.00964096, 0.0103116]
[0.235904, 0.235904] ; [0.0103116, 0.010987]
[0.236146, 0.236146] ; [0.010987, 0.0116672]
[0.236402, 0.236402] ; [0.0116672, 0.0123523]
[0.236671, 0.236671] ; [0.0123523, 0.0130424]
[0.236954, 0.236954] ; [0.0130424, 0.0137374]
[0.23725, 0.23725] ; [0.0137374, 0.0144375]
[0.23756, 0.23756] ; [0.0144375, 0.0151426]
[0.237883, 0.237883] ; [0.0151426, 0.0158529]
[0.23822, 0.23822] ; [0.0158529, 0.0165684]
[0.23857, 0.23857] ; [0.0165684, 0.0172892]
[0.238934, 0.238934] ; [0.0172892, 0.0180153]
[0.239311, 0.239311] ; [0.0180153, 0.0187468]
[0.239701, 0.239701] ; [0.0187468, 0.0194837]
[0.240104, 0.240104] ; [0.0194837, 0.0202261]
[0.240521, 0.240521] ; [0.0202261, 0.0209741]
[0.240952, 0.240952] ; [0.0209741, 0.0217277]
[0.241397, 0.241397] ; [0.0217277, 0.0224908]
[0.24186, 0.24186] ; [0.0224908, 0.0232651]
[0.242339, 0.242339] ; [0.0232651, 0.0240507]
[0.242836, 0.242836] ; [0.0240507, 0.0248479]
[0.243349, 0.243349] ; [0.0248479, 0.0256568]
[0.243881, 0.243881] ; [0.0256568, 0.0264777]
[0.24443, 0.24443] ; [0.0264777, 0.0273108]
[0.244998, 0.244998] ; [0.0273108, 0.0281563]
[0.245584, 0.245584] ; [0.0281563, 0.0290145]
[0.246189, 0.246189] ; [0.0290145, 0.0298856]
[0.246813, 0.246813] ; [0.0298856, 0.0307698]
[0.247456, 0.247456] ; [0.0307698, 0.0316674]
[0.248118, 0.248119] ; [0.0316674, 0.0325787]
[0.248801, 0.248801] ; [0.0325787, 0.033504]
[0.249503, 0.249504] ; [0.033504, 0.0344434]
[0.250226, 0.250226] ; [0.0344434, 0.0353973]
[0.25097, 0.25097] ; [0.0353973, 0.036366]
[0.251734, 0.251734] ; [0.036366, 0.0373497]
[0.25252, 0.25252] ; [0.0373497, 0.0383489]
[0.253326, 0.253327] ; [0.0383489, 0.0393638]
[0.254155, 0.254155] ; [0.0393638, 0.0403946]
[0.255006, 0.255006] ; [0.0403946, 0.0414419]
[0.255878, 0.255878] ; [0.0414419, 0.0425058]
[0.256773, 0.256773] ; [0.0425058, 0.0435866]
[0.257691, 0.257691] ; [0.0435866, 0.0446849]
[0.258631, 0.258631] ; [0.0446849, 0.0458008]
[0.259595, 0.259595] ; [0.0458008, 0.0469348]
[0.260582, 0.260582] ; [0.0469348, 0.0480873]
[0.261592, 0.261593] ; [0.0480873, 0.0492586]
[0.262627, 0.262627] ; [0.0492586, 0.0504492]
[0.263685, 0.263685] ; [0.0504492, 0.0516595]
[0.264768, 0.264768] ; [0.0516595, 0.0528899]
[0.265875, 0.265875] ; [0.0528899, 0.0541409]
[0.267006, 0.267006] ; [0.0541409, 0.0554129]
[0.268162, 0.268163] ; [0.0554129, 0.0567064]
[0.269344, 0.269344] ; [0.0567064, 0.058022]
[0.27055, 0.270551] ; [0.058022, 0.0593601]
[0.271782, 0.271782] ; [0.0593601, 0.0607213]
[0.27304, 0.27304] ; [0.0607213, 0.0621062]
[0.274323, 0.274323] ; [0.0621062, 0.0635153]
[0.275632, 0.275632] ; [0.0635153, 0.0649493]
[0.276967, 0.276967] ; [0.0649493, 0.0664089]
[0.278328, 0.278329] ; [0.0664089, 0.0678948]
[0.279716, 0.279716] ; [0.0678948, 0.0694077]
[0.281131, 0.281131] ; [0.0694077, 0.0709484]
[0.282572, 0.282572] ; [0.0709484, 0.0725179]
[0.284041, 0.284041] ; [0.0725179, 0.0741171]
[0.285537, 0.285537] ; [0.0741171, 0.0757469]
[0.287059, 0.287059] ; [0.0757469, 0.0774068]
[0.288607, 0.288608] ; [0.0774068, 0.0790979]
[0.290183, 0.290183] ; [0.0790979, 0.0808214]
[0.291785, 0.291785] ; [0.0808214, 0.0825785]
[0.293415, 0.293415] ; [0.0825785, 0.0843707]
[0.295072, 0.295073] ; [0.0843707, 0.0861998]
[0.296759, 0.296759] ; [0.0861998, 0.0880676]
[0.298475, 0.298475] ; [0.0880676, 0.0899765]
[0.300222, 0.300222] ; [0.0899765, 0.0919292]
[0.302001, 0.302002] ; [0.0919292, 0.093929]
[0.303816, 0.303816] ; [0.093929, 0.0959798]
[0.305667, 0.305668] ; [0.0959798, 0.0980866]
[0.30756, 0.307561] ; [0.0980866, 0.100256]
[0.309499, 0.3095] ; [0.100256, 0.102495]
[0.311492, 0.311493] ; [0.102495, 0.104814]
[0.313547, 0.313547] ; [0.104814, 0.107229]
[0.315678, 0.315679] ; [0.107229, 0.109757]
[0.317907, 0.317908] ; [0.109757, 0.11243]
[0.320267, 0.320268] ; [0.11243, 0.115294]
[0.322818, 0.32282] ; [0.115294, 0.118432]
[0.324126, 0.324128] ; [0.118432, 0.120057]
[0.326457, 0.326459] ; [0.120057, 0.122982]
[0.328598, 0.3286] ; [0.122982, 0.125703]
[0.330565, 0.330567] ; [0.125703, 0.128233]
[0.332403, 0.332406] ; [0.128233, 0.130621]
[0.334138, 0.33414] ; [0.130621, 0.132897]
[0.335787, 0.33579] ; [0.132897, 0.135081]
