[-1.38317, -1.38317] ; [-0.000259165, 0]
[-1.38317, -1.38317] ; [0, 0.000259165]
[-1.38316, -1.38316] ; [0.000259165, 0.000725663]
[-1.38312, -1.38312] ; [0.000725663, 0.00133409]
[-1.38305, -1.38305] ; [0.00133409, 0.0019472]
[-1.38296, -1.38296] ; [0.0019472, 0.00256445]
[-1.38285, -1.38285] ; [0.00256445, 0.00318589]
[-1.38271, -1.38271] ; [0.00318589, 0.00381157]
[-1.38254, -1.38254] ; [0.00381157, 0.00444153]
[-1.38235, -1.38235] ; [0.00444153, 0.00507581]
[-1.38213, -1.38213] ; [0.00507581, 0.00571447]
[-1.38188, -1.38188] ; [0.00571447, 0.00635754]
[-1.3816, -1.3816] ; [0.00635754, 0.00700509]
[-1.3813, -1.3813] ; [0.00700509, 0.00765716]
[-1.38096, -1.38096] ; [0.00765716, 0.00831379]
[-1.38059, -1.38059] ; [0.00831379, 0.00897504]
[-1.3802, -1.3802] ; [0.00897504, 0.00964096]
[-1.37977, -1.37977] ; [0.00964096, 0.0103116]
[-1.3793, -1.3793] ; [0.0103116, 0.010987]
[-1.37881, -1.37881] ; [0.010987, 0.0116672]
[-1.37828, -1.37828] ; [0.0116672, 0.0123523]
[-1.37772, -1.37772] ; [0.0123523, 0.0130424]
[-1.37712, -1.37712] ; [0.0130424, 0.0137374]
[-1.37648, -1.37648] ; [0.0137374, 0.0144375]
[-1.37581, -1.37581] ; [0.0144375, 0.0151426]
[-1.3751, -1.3751] ; [0.0151426, 0.0158529]
[-1.37435, -1.37435] ; [0.0158529, 0.0165684]
[-1.37356, -1.37356] ; [0.0165684, 0.0172892]
[-1.37274, -1.37274] ; [0.0172892, 0.0180153]
[-1.37187, -1.37187] ; [0.0180153, 0.0187468]
[-1.37096, -1.37096] ; [0.0187468, 0.0194837]
[-1.37, -1.37] ; [0.0194837, 0.0202261]
[-1.36901, -1.36901] ; [0.0202261, 0.0209741]
[-1.36797, -1.36797] ; [0.0209741, 0.0217277]
[-1.36688, -1.36688] ; [0.0217277, 0.0224908]
[-1.36573, -1.36573] ; [0.0224908, 0.0232651]
[-1.36453, -1.36453] ; [0.0232651, 0.0240507]
[-1.36326, -1.36326] ; [0.0240507, 0.0248479]
[-1.36194, -1.36194] ; [0.0248479, 0.0256568]
[-1.36055, -1.36055] ; [0.0256568, 0.0264777]
[-1.3591, -1.3591] ; [0.0264777, 0.0273108]
[-1.35758, -1.35758] ; [0.0273108, 0.0281563]
[-1.35599, -1.35599] ; [0.0281563, 0.0290145]
[-1.35433, -1.35433] ; [0.0290145, 0.0298856]
[-1.35259, -1.35259] ; [0.0298856, 0.0307698]
[-1.35077, -1.35077] ; [0.0307698, 0.0316674]
[-1.34887, -1.34887] ; [0.0316674, 0.0325787]
[-1.34688, -1.34688] ; [0.0325787, 0.033504]
[-1.34481, -1.34481] ; [0.033504, 0.0344434]
[-1.34265, -1.34265] ; [0.0344434, 0.0353973]
[-1.34039, -1.34039] ; [0.0353973, 0.036366]
[-1.33803, -1.33803] ; [0.036366, 0.0373497]
[-1.33558, -1.33558] ; [0.0373497, 0.0383489]
[-1.33301, -1.33301] ; [0.0383489, 0.0393638]
[-1.33034, -1.33034] ; [0.0393638, 0.0403946]
[-1.32756, -1.32756] ; [0.0403946, 0.0414419]
[-1.32466, -1.32466] ; [0.0414419, 0.0425058]
[-1.32163, -1.32163] ; [0.0425058, 0.0435866]
[-1.31848, -1.31848] ; [0.0435866, 0.0446849]
[-1.3152, -1.3152] ; [0.0446849, 0.0458008]
[-1.31178, -1.31178] ; [0.0458008, 0.0469348]
[-1.30822, -1.30822] ; [0.0469348, 0.0480873]
[-1.30451, -1.30451] ; [0.0480873, 0.0492586]
[-1.30066, -1.30066] ; [0.0492586, 0.0504492]
[-1.29664, -1.29664] ; [0.0504492, 0.0516595]
[-1.29246, -1.29246] ; [0.0516595, 0.0528899]
[-1.28811, -1.28811] ; [0.0528899, 0.0541409]
[-1.28358, -1.28358] ; [0.0541409, 0.0554129]
[-1.27887, -1.27887] ; [0.0554129, 0.0567064]
[-1.27397, -1.27397] ; [0.0567064, 0.058022]
[-1.26887, -1.26887] ; [0.058022, 0.0593601]
[-1.26356, -1.26356] ; [0.0593601, 0.0607213]
[-1.25804, -1.25804] ; [0.0607213, 0.0621062]
[-1.25229, -1.25229] ; [0.0621062, 0.0635153]
[-1.24632, -1.24632] ; [0.0635153, 0.0649493]
[-1.2401, -1.2401] ; [0.0649493, 0.0664089]
[-1.23363, -1.23363] ; [0.0664089, 0.0678948]
[-1.2269, -1.2269] ; [0.0678948, 0.0694077]
[-1.2199, -1.2199] ; [0.0694077, 0.0709484]
[-1.21261, -1.21261] ; [0.0709484, 0.0725179]
[-1.20502, -1.20502] ; [0.0725179, 0.0741171]
[-1.19712, -1.19712] ; [0.0741171, 0.0757469]
[-1.18891, -1.18891] ; [0.0757469, 0.0774068]
[-1.18036, -1.18036] ; [0.0774068, 0.0790979]
[-1.17147, -1.17147] ; [0.0790979, 0.0808214]
[-1.16221, -1.16221] ; [0.0808214, 0.0825785]
[-1.15257, -1.15257] ; [0.0825785, 0.0843707]
[-1.14253, -1.14253] ; [0.0843707, 0.0861998]
[-1.13206, -1.13206] ; [0.0861998, 0.0880676]
[-1.12115, -1.12115] ; [0.0880676, 0.0899765]
[-1.10975, -1.10975] ; [0.0899765, 0.0919292]
[-1.09784, -1.09784] ; [0.0919292, 0.093929]
[-1.08538, -1.08538] ; [0.093929, 0.0959798]
[-1.07231, -1.07231] ; [0.0959798, 0.0980866]
[-1.05859, -1.05859] ; [0.0980866, 0.100256]
[-1.04413, -1.04413] ; [0.100256, 0.102495]
[-1.02884, -1.02884] ; [0.102495, 0.104814]
[-1.0126, -1.01259] ; [0.104814, 0.107229]
[-0.995223, -0.995223] ; [0.107229, 0.109757]
[-0.976468, -0.976468] ; [0.109757, 0.11243]
[-0.955931, -0.95593] ; [0.11243, 0.115294]
[-0.932914, -0.932913] ; [0.115294, 0.118432]
[-0.920782, -0.920781] ; [0.118432, 0.120057]
[-0.898589, -0.898588] ; [0.120057, 0.122982]
[-0.877543, -0.877542] ; [0.122982, 0.125703]
[-0.857636, -0.857634] ; [0.125703, 0.128233]
[-0.838539, -0.838537] ; [0.128233, 0.130621]
[-0.820077, -0.820075] ; [0.130621, 0.132897]
[-0.802129, -0.802127] ; [0.132897, 0.135081]
[-0.784606, -0.784604] ; [0.135081, 0.137187]
[-0.767444, -0.767442] ; [0.137187, 0.139225]
[-0.750591, -0.750588] ; [0.139225, 0.141205]
[-0.734007, -0.734004] ; [0.141205, 0.143134]
[-0.717658, -0.717655] ; [0.143134, 0.145017]
[-0.701516, -0.701513] ; [0.145017, 0.146859]
[-0.685557, -0.685554] ; [0.146859, 0.148665]
[-0.669761, -0.669757] ; [0.148665, 0.150437]
[-0.654108, -0.654105] ; [0.150437, 0.15218]
[-0.638583, -0.638579] ; [0.15218, 0.153896]
[-0.623181, -0.623177] ; [0.153896, 0.155586]
[-0.607902, -0.607898] ; [0.155586, 0.157251]
[-0.592731, -0.592727] ; [0.157251, 0.158894]
[-0.577656, -0.577651] ; [0.158894, 0.160516]
[-0.562678, -0.562673] ; [0.160516, 0.162119]
[-0.547793, -0.547788] ; [0.162119, 0.163703]
[-0.53299, -0.532985] ; [0.163703, 0.165271]
[-0.518258, -0.518253] ; [0.165271, 0.166823]
[-0.503585, -0.50358] ; [0.166823, 0.168361]
[-0.488961, -0.488956] ; [0.168361, 0.169887]
[-0.474376, -0.474371] ; [0.169887, 0.171403]
[-0.45982, -0.459815] ; [0.171403, 0.17291]
[-0.445283, -0.445278] ; [0.17291, 0.174409]
[-0.430755, -0.430749] ; [0.174409, 0.175902]
[-0.416225, -0.416219] ; [0.175902, 0.17739]
[-0.401683, -0.401677] ; [0.17739, 0.178874]
[-0.387119, -0.387112] ; [0.178874, 0.180357]
[-0.37252, -0.372514] ; [0.180357, 0.181838]
[-0.357877, -0.35787] ; [0.181838, 0.18332]
[-0.343176, -0.343169] ; [0.18332, 0.184805]
[-0.328405, -0.328398] ; [0.184805, 0.186293]
[-0.313551, -0.313543] ; [0.186293, 0.187786]
[-0.298599, -0.298591] ; [0.187786, 0.189287]
[-0.283534, -0.283526] ; [0.189287, 0.190796]
[-0.26834, -0.268332] ; [0.190796, 0.192315]
[-0.252999, -0.25299] ; [0.192315, 0.193848]
[-0.23749, -0.237481] ; [0.193848, 0.195395]
[-0.221794, -0.221785] ; [0.195395, 0.196959]
[-0.205886, -0.205877] ; [0.196959, 0.198543]
[-0.189741, -0.189731] ; [0.198543, 0.20015]
[-0.173329, -0.173318] ; [0.20015, 0.201783]
[-0.156618, -0.156607] ; [0.201783, 0.203445]
[-0.139571, -0.13956] ; [0.203445, 0.20514]
[-0.122148, -0.122136] ; [0.20514, 0.206873]
[-0.104319, -0.104307] ; [0.206873, 0.208647]
[-0.0860332, -0.0860209] ; [0.208647, 0.210468]
[-0.0672324, -0.0672196] ; [0.210468, 0.212342]
[-0.0478502, -0.0478367] ; [0.212342, 0.214276]
[-0.0281368, -0.0281226] ; [0.214276, 0.216247]
[-0.00961167, -0.00959681] ; [0.216247, 0.218102]
[0.00835807, 0.00837358] ; [0.218102, 0.219905]
[0.0257706, 0.0257868] ; [0.219905, 0.221655]
[0.0427306, 0.0427474] ; [0.221655, 0.223364]
[0.0593051, 0.0593226] ; [0.223364, 0.225038]
[0.0755513, 0.0755695] ; [0.225038, 0.226684]
[0.0915152, 0.0915341] ; [0.226684, 0.228304]
[0.107235, 0.107255] ; [0.228304, 0.229905]
[0.122743, 0.122764] ; [0.229905, 0.231489]
[0.138067, 0.138088] ; [0.231489, 0.233058]
[0.153231, 0.153253] ; [0.233058, 0.234617]
[0.168254, 0.168277] ; [0.234617, 0.236166]
[0.183155, 0.183179] ; [0.236166, 0.237707]
[0.197948, 0.197972] ; [0.237707, 0.239243]
[0.212641, 0.212665] ; [0.239243, 0.240775]
[0.227246, 0.227271] ; [0.240775, 0.242303]
[0.241774, 0.2418] ; [0.242303, 0.243829]
[0.256235, 0.256263] ; [0.243829, 0.245355]
[0.270639, 0.270667] ; [0.245355, 0.246881]
[0.284992, 0.285021] ; [0.246881, 0.248409]
[0.299302, 0.299332] ; [0.248409, 0.249939]
[0.313575, 0.313605] ; [0.249939, 0.251472]
[0.327816, 0.327847] ; [0.251472, 0.253009]
[0.34203, 0.342062] ; [0.253009, 0.254552]
[0.356221, 0.356254] ; [0.254552, 0.2561]
[0.370394, 0.370428] ; [0.2561, 0.257654]
[0.384551, 0.384586] ; [0.257654, 0.259216]
[0.398695, 0.398731] ; [0.259216, 0.260785]
[0.412828, 0.412865] ; [0.260785, 0.262362]
[0.426952, 0.42699] ; [0.262362, 0.263948]
[0.441069, 0.441108] ; [0.263948, 0.265544]
[0.45518, 0.45522] ; [0.265544, 0.267149]
[0.469285, 0.469326] ; [0.267149, 0.268764]
[0.483384, 0.483426] ; [0.268764, 0.270391]
[0.497477, 0.49752] ; [0.270391, 0.272028]
[0.511565, 0.511609] ; [0.272028, 0.273677]
[0.525645, 0.525691] ; [0.273677, 0.275338]
[0.539718, 0.539764] ; [0.275338, 0.277011]
[0.553781, 0.553828] ; [0.277011, 0.278697]
