[0.233874, 0.233874] ; [-0.000236765, 0]
[0.233875, 0.233875] ; [0, 0.000236765]
[0.233883, 0.233883] ; [0.000236765, 0.000662942]
[0.233901, 0.233901] ; [0.000662942, 0.00119343]
[0.233931, 0.233931] ; [0.00119343, 0.00172812]
[0.233971, 0.233971] ; [0.00172812, 0.00226668]
[0.234022, 0.234022] ; [0.00226668, 0.00280918]
[0.234084, 0.234084] ; [0.00280918, 0.00335565]
[0.234157, 0.234157] ; [0.00335565, 0.00390616]
[0.23424, 0.23424] ; [0.00390616, 0.00446074]
[0.234333, 0.234333] ; [0.00446074, 0.00501946]
[0.234438, 0.234438] ; [0.00501946, 0.00558236]
[0.234553, 0.234553] ; [0.00558236, 0.0061495]
[0.234679, 0.234679] ; [0.0061495, 0.00672093]
[0.234815, 0.234815] ; [0.00672093, 0.00729671]
[0.234962, 0.234962] ; [0.00729671, 0.00787689]
[0.23512, 0.23512] ; [0.00787689, 0.00846154]
[0.235288, 0.235289] ; [0.00846154, 0.0090507]
[0.235468, 0.235468] ; [0.0090507, 0.00964443]
[0.235657, 0.235657] ; [0.00964443, 0.0102428]
[0.235858, 0.235858] ; [0.0102428, 0.0108459]
[0.236069, 0.236069] ; [0.0108459, 0.0114537]
[0.23629, 0.23629] ; [0.0114537, 0.0120664]
[0.236522, 0.236523] ; [0.0120664, 0.0126839]
[0.236765, 0.236765] ; [0.0126839, 0.0133064]
[0.237019, 0.237019] ; [0.0133064, 0.0139339]
[0.237283, 0.237283] ; [0.0139339, 0.0145665]
[0.237558, 0.237558] ; [0.0145665, 0.0152042]
[0.237843, 0.237843] ; [0.0152042, 0.0158471]
[0.238139, 0.238139] ; [0.0158471, 0.0164954]
[0.238446, 0.238446] ; [0.0164954, 0.017149]
[0.238763, 0.238763] ; [0.017149, 0.017808]
[0.239091, 0.239091] ; [0.017808, 0.0184725]
[0.23943, 0.23943] ; [0.0184725, 0.0191426]
[0.239779, 0.239779] ; [0.0191426, 0.0198184]
[0.240139, 0.240139] ; [0.0198184, 0.0204998]
[0.240509, 0.240509] ; [0.0204998, 0.0211871]
[0.240891, 0.240891] ; [0.0211871, 0.021882]
[0.241287, 0.241287] ; [0.021882, 0.0225875]
[0.241695, 0.241695] ; [0.0225875, 0.0233036]
[0.242118, 0.242118] ; [0.0233036, 0.0240308]
[0.242554, 0.242554] ; [0.0240308, 0.0247691]
[0.243004, 0.243004] ; [0.0247691, 0.0255188]
[0.243469, 0.243469] ; [0.0255188, 0.0262803]
[0.243948, 0.243948] ; [0.0262803, 0.0270536]
[0.244442, 0.244442] ; [0.0270536, 0.0278391]
[0.244952, 0.244952] ; [0.0278391, 0.0286371]
[0.245476, 0.245476] ; [0.0286371, 0.0294477]
[0.246016, 0.246016] ; [0.0294477, 0.0302714]
[0.246571, 0.246571] ; [0.0302714, 0.0311084]
[0.247143, 0.247143] ; [0.0311084, 0.0319589]
[0.247731, 0.247731] ; [0.0319589, 0.0328234]
[0.248335, 0.248335] ; [0.0328234, 0.0337021]
[0.248956, 0.248956] ; [0.0337021, 0.0345953]
[0.249594, 0.249594] ; [0.0345953, 0.0355035]
[0.250249, 0.250249] ; [0.0355035, 0.0364268]
[0.250922, 0.250922] ; [0.0364268, 0.0373657]
[0.251612, 0.251612] ; [0.0373657, 0.0383205]
[0.25232, 0.25232] ; [0.0383205, 0.0392916]
[0.253046, 0.253046] ; [0.0392916, 0.0402793]
[0.253791, 0.253791] ; [0.0402793, 0.0412842]
[0.254554, 0.254554] ; [0.0412842, 0.0423065]
[0.255337, 0.255337] ; [0.0423065, 0.0433467]
[0.256138, 0.256138] ; [0.0433467, 0.0444053]
[0.256959, 0.256959] ; [0.0444053, 0.0454826]
[0.257799, 0.2578] ; [0.0454826, 0.0465792]
[0.25866, 0.25866] ; [0.0465792, 0.0476955]
[0.25954, 0.25954] ; [0.0476955, 0.0488321]
[0.260441, 0.260441] ; [0.0488321, 0.0499893]
[0.261362, 0.261363] ; [0.0499893, 0.0511678]
[0.262305, 0.262305] ; [0.0511678, 0.0523681]
[0.263268, 0.263268] ; [0.0523681, 0.0535907]
[0.264252, 0.264252] ; [0.0535907, 0.0548363]
[0.265258, 0.265258] ; [0.0548363, 0.0561054]
[0.266286, 0.266286] ; [0.0561054, 0.0573986]
[0.267335, 0.267335] ; [0.0573986, 0.0587167]
[0.268406, 0.268407] ; [0.0587167, 0.0600602]
[0.2695, 0.2695] ; [0.0600602, 0.0614301]
[0.270616, 0.270617] ; [0.0614301, 0.0628269]
[0.271755, 0.271756] ; [0.0628269, 0.0642515]
[0.272917, 0.272918] ; [0.0642515, 0.0657047]
[0.274103, 0.274103] ; [0.0657047, 0.0671875]
[0.27531, 0.27531] ; [0.0671875, 0.0686991]
[0.276539, 0.276539] ; [0.0686991, 0.07024]
[0.27779, 0.27779] ; [0.07024, 0.0718111]
[0.279063, 0.279063] ; [0.0718111, 0.0734133]
[0.280358, 0.280358] ; [0.0734133, 0.0750474]
[0.281675, 0.281675] ; [0.0750474, 0.0767145]
[0.283014, 0.283014] ; [0.0767145, 0.0784158]
[0.284376, 0.284376] ; [0.0784158, 0.0801525]
[0.28576, 0.285761] ; [0.0801525, 0.0819261]
[0.287168, 0.287169] ; [0.0819261, 0.0837384]
[0.288599, 0.2886] ; [0.0837384, 0.0855913]
[0.290055, 0.290056] ; [0.0855913, 0.087487]
[0.291536, 0.291537] ; [0.087487, 0.0894285]
[0.293044, 0.293044] ; [0.0894285, 0.091419]
[0.294579, 0.29458] ; [0.091419, 0.0934627]
[0.296146, 0.296147] ; [0.0934627, 0.0955646]
[0.297746, 0.297747] ; [0.0955646, 0.0977311]
[0.299385, 0.299386] ; [0.0977311, 0.0999706]
[0.301067, 0.301068] ; [0.0999706, 0.102294]
[0.302801, 0.302803] ; [0.102294, 0.104716]
[0.3046, 0.304601] ; [0.104716, 0.107258]
[0.30648, 0.306482] ; [0.107258, 0.109951]
[0.308472, 0.308474] ; [0.109951, 0.112843]
[0.310416, 0.310418] ; [0.112843, 0.115709]
[0.312159, 0.312161] ; [0.115709, 0.118313]
[0.313783, 0.313786] ; [0.118313, 0.120774]
[0.315308, 0.31531] ; [0.120774, 0.123111]
[0.31675, 0.316753] ; [0.123111, 0.125348]
[0.318123, 0.318126] ; [0.125348, 0.127501]
[0.319436, 0.319439] ; [0.127501, 0.129582]
[0.320698, 0.320701] ; [0.129582, 0.131599]
[0.321913, 0.321917] ; [0.131599, 0.133561]
[0.323089, 0.323092] ; [0.133561, 0.135474]
[0.324228, 0.324232] ; [0.135474, 0.137342]
[0.325335, 0.325339] ; [0.137342, 0.139171]
[0.326414, 0.326418] ; [0.139171, 0.140963]
[0.327467, 0.32747] ; [0.140963, 0.142722]
[0.328496, 0.3285] ; [0.142722, 0.144452]
[0.329505, 0.329509] ; [0.144452, 0.146153]
[0.330494, 0.330498] ; [0.146153, 0.147828]
[0.331465, 0.331469] ; [0.147828, 0.149476]
[0.332419, 0.332423] ; [0.149476, 0.151101]
[0.33336, 0.333364] ; [0.151101, 0.152704]
[0.334287, 0.334292] ; [0.152704, 0.154287]
[0.335205, 0.335209] ; [0.154287, 0.155852]
[0.336112, 0.336117] ; [0.155852, 0.1574]
[0.337011, 0.337016] ; [0.1574, 0.15893]
[0.337902, 0.337906] ; [0.15893, 0.160444]
[0.338785, 0.33879] ; [0.160444, 0.161942]
[0.339664, 0.339669] ; [0.161942, 0.163427]
[0.340539, 0.340544] ; [0.163427, 0.164899]
[0.341411, 0.341416] ; [0.164899, 0.16636]
[0.342281, 0.342286] ; [0.16636, 0.167811]
[0.343151, 0.343156] ; [0.167811, 0.169252]
[0.344023, 0.344028] ; [0.169252, 0.170686]
[0.344896, 0.344901] ; [0.170686, 0.172113]
[0.345773, 0.345778] ; [0.172113, 0.173535]
[0.346654, 0.346659] ; [0.173535, 0.174952]
[0.34754, 0.347545] ; [0.174952, 0.176366]
[0.348434, 0.348439] ; [0.176366, 0.177777]
[0.349335, 0.34934] ; [0.177777, 0.179187]
[0.350246, 0.350251] ; [0.179187, 0.180597]
[0.351167, 0.351172] ; [0.180597, 0.182007]
[0.352099, 0.352105] ; [0.182007, 0.18342]
[0.353045, 0.353051] ; [0.18342, 0.184836]
[0.354006, 0.354011] ; [0.184836, 0.186256]
[0.354982, 0.354988] ; [0.186256, 0.187681]
[0.355976, 0.355982] ; [0.187681, 0.189114]
[0.356989, 0.356995] ; [0.189114, 0.190554]
[0.358022, 0.358028] ; [0.190554, 0.192004]
[0.359078, 0.359085] ; [0.192004, 0.193465]
[0.360159, 0.360165] ; [0.193465, 0.194939]
[0.361266, 0.361272] ; [0.194939, 0.196427]
[0.362402, 0.362408] ; [0.196427, 0.197931]
[0.363568, 0.363575] ; [0.197931, 0.199452]
[0.364769, 0.364776] ; [0.199452, 0.200994]
[0.366005, 0.366012] ; [0.200994, 0.202557]
[0.367281, 0.367288] ; [0.202557, 0.204144]
[0.368599, 0.368607] ; [0.204144, 0.205758]
[0.369962, 0.36997] ; [0.205758, 0.207398]
[0.371373, 0.371381] ; [0.207398, 0.209069]
[0.372836, 0.372844] ; [0.209069, 0.210773]
[0.374355, 0.374363] ; [0.210773, 0.212513]
[0.375866, 0.375875] ; [0.212513, 0.214215]
[0.377358, 0.377367] ; [0.214215, 0.215868]
[0.378838, 0.378848] ; [0.215868, 0.217484]
[0.38031, 0.38032] ; [0.217484, 0.219068]
[0.381778, 0.381788] ; [0.219068, 0.220624]
