[0.233874, 0.233874] ; [-0.000259165, 0]
[0.233875, 0.233875] ; [0, 0.000259165]
[0.233884, 0.233884] ; [0.000259165, 0.000725663]
[0.23391, 0.23391] ; [0.000725663, 0.0013733]
[0.233951, 0.233951] ; [0.0013733, 0.00202597]
[0.234007, 0.234007] ; [0.00202597, 0.00268287]
[0.23408, 0.23408] ; [0.00268287, 0.00334405]
[0.234168, 0.234168] ; [0.00334405, 0.00400953]
[0.234271, 0.234271] ; [0.00400953, 0.00467938]
[0.23439, 0.23439] ; [0.00467938, 0.00535361]
[0.234525, 0.234525] ; [0.00535361, 0.00603229]
[0.234675, 0.234675] ; [0.00603229, 0.00671546]
[0.23484, 0.23484] ; [0.00671546, 0.00740315]
[0.235021, 0.235021] ; [0.00740315, 0.00809541]
[0.235218, 0.235218] ; [0.00809541, 0.00879229]
[0.23543, 0.23543] ; [0.00879229, 0.00949384]
[0.235657, 0.235657] ; [0.00949384, 0.0102001]
[0.2359, 0.2359] ; [0.0102001, 0.0109111]
[0.236158, 0.236158] ; [0.0109111, 0.0116269]
[0.236431, 0.236431] ; [0.0116269, 0.0123476]
[0.23672, 0.23672] ; [0.0123476, 0.0130731]
[0.237024, 0.237024] ; [0.0130731, 0.0138036]
[0.237343, 0.237343] ; [0.0138036, 0.0145391]
[0.237677, 0.237678] ; [0.0145391, 0.0152796]
[0.238027, 0.238027] ; [0.0152796, 0.0160253]
[0.238392, 0.238392] ; [0.0160253, 0.016776]
[0.238772, 0.238772] ; [0.016776, 0.017532]
[0.239167, 0.239167] ; [0.017532, 0.0182932]
[0.239577, 0.239577] ; [0.0182932, 0.0190596]
[0.240002, 0.240002] ; [0.0190596, 0.0198315]
[0.240442, 0.240442] ; [0.0198315, 0.0206087]
[0.240898, 0.240898] ; [0.0206087, 0.0213913]
[0.241368, 0.241369] ; [0.0213913, 0.0221809]
[0.241858, 0.241858] ; [0.0221809, 0.0229817]
[0.242366, 0.242366] ; [0.0229817, 0.0237941]
[0.242893, 0.242893] ; [0.0237941, 0.0246181]
[0.24344, 0.24344] ; [0.0246181, 0.0254541]
[0.244007, 0.244007] ; [0.0254541, 0.0263021]
[0.244593, 0.244593] ; [0.0263021, 0.0271625]
[0.245199, 0.245199] ; [0.0271625, 0.0280354]
[0.245827, 0.245827] ; [0.0280354, 0.028921]
[0.246475, 0.246475] ; [0.028921, 0.0298196]
[0.247144, 0.247144] ; [0.0298196, 0.0307314]
[0.247834, 0.247834] ; [0.0307314, 0.0316565]
[0.248546, 0.248546] ; [0.0316565, 0.0325954]
[0.249281, 0.249281] ; [0.0325954, 0.0335481]
[0.250037, 0.250037] ; [0.0335481, 0.034515]
[0.250816, 0.250816] ; [0.034515, 0.0354963]
[0.251618, 0.251618] ; [0.0354963, 0.0364923]
[0.252443, 0.252443] ; [0.0364923, 0.0375032]
[0.253291, 0.253292] ; [0.0375032, 0.0385293]
[0.254164, 0.254164] ; [0.0385293, 0.039571]
[0.25506, 0.25506] ; [0.039571, 0.0406285]
[0.25598, 0.25598] ; [0.0406285, 0.0417021]
[0.256925, 0.256925] ; [0.0417021, 0.0427921]
[0.257894, 0.257894] ; [0.0427921, 0.0438989]
[0.258888, 0.258889] ; [0.0438989, 0.0450228]
[0.259908, 0.259908] ; [0.0450228, 0.0461639]
[0.260953, 0.260953] ; [0.0461639, 0.0473228]
[0.262024, 0.262024] ; [0.0473228, 0.0484997]
[0.26312, 0.263121] ; [0.0484997, 0.0496949]
[0.264243, 0.264243] ; [0.0496949, 0.0509089]
[0.265392, 0.265392] ; [0.0509089, 0.0521421]
[0.266567, 0.266568] ; [0.0521421, 0.0533947]
[0.26777, 0.26777] ; [0.0533947, 0.0546673]
[0.268999, 0.268999] ; [0.0546673, 0.0559602]
[0.270255, 0.270255] ; [0.0559602, 0.0572738]
[0.271538, 0.271538] ; [0.0572738, 0.0586087]
[0.272849, 0.272849] ; [0.0586087, 0.0599653]
[0.274187, 0.274187] ; [0.0599653, 0.061344]
[0.275553, 0.275553] ; [0.061344, 0.0627454]
[0.276947, 0.276947] ; [0.0627454, 0.06417]
[0.278368, 0.278369] ; [0.06417, 0.0656184]
[0.279819, 0.279819] ; [0.0656184, 0.0670911]
[0.281297, 0.281297] ; [0.0670911, 0.0685889]
[0.282804, 0.282804] ; [0.0685889, 0.0701124]
[0.284339, 0.28434] ; [0.0701124, 0.0716622]
[0.285904, 0.285904] ; [0.0716622, 0.0732393]
[0.287498, 0.287498] ; [0.0732393, 0.0748444]
[0.289121, 0.289121] ; [0.0748444, 0.0764785]
[0.290773, 0.290774] ; [0.0764785, 0.0781427]
[0.292456, 0.292456] ; [0.0781427, 0.0798378]
[0.294168, 0.294168] ; [0.0798378, 0.0815637]
[0.295909, 0.295909] ; [0.0815637, 0.0833217]
[0.297679, 0.29768] ; [0.0833217, 0.0851131]
[0.29948, 0.299481] ; [0.0851131, 0.0869395]
[0.301312, 0.301313] ; [0.0869395, 0.0888027]
[0.303176, 0.303177] ; [0.0888027, 0.0907047]
[0.305073, 0.305074] ; [0.0907047, 0.0926481]
[0.307006, 0.307006] ; [0.0926481, 0.0946358]
[0.308975, 0.308975] ; [0.0946358, 0.0966715]
[0.310983, 0.310984] ; [0.0966715, 0.0987596]
[0.313036, 0.313036] ; [0.0987596, 0.100906]
[0.315136, 0.315137] ; [0.100906, 0.103116]
[0.317291, 0.317292] ; [0.103116, 0.105401]
[0.31951, 0.31951] ; [0.105401, 0.107772]
[0.321805, 0.321806] ; [0.107772, 0.110246]
[0.324195, 0.324196] ; [0.110246, 0.112847]
[0.326711, 0.326712] ; [0.112847, 0.115612]
[0.329403, 0.329405] ; [0.115612, 0.118605]
[0.332291, 0.332293] ; [0.118605, 0.121857]
[0.333728, 0.33373] ; [0.121857, 0.123491]
[0.336291, 0.336293] ; [0.123491, 0.126433]
[0.338642, 0.338644] ; [0.126433, 0.129163]
[0.340798, 0.3408] ; [0.129163, 0.131694]
[0.342811, 0.342814] ; [0.131694, 0.134079]
[0.344711, 0.344713] ; [0.134079, 0.13635]
[0.346517, 0.34652] ; [0.13635, 0.138527]
[0.348245, 0.348248] ; [0.138527, 0.140626]
[0.349906, 0.349909] ; [0.140626, 0.142656]
