[-1.38317, -1.38317] ; [-0.000259165, 0]
[-1.38317, -1.38317] ; [0, 0.000259165]
[-1.38316, -1.38316] ; [0.000259165, 0.000725663]
[-1.38311, -1.38311] ; [0.000725663, 0.0013733]
[-1.38304, -1.38304] ; [0.0013733, 0.00202597]
[-1.38294, -1.38294] ; [0.00202597, 0.00268287]
[-1.38282, -1.38282] ; [0.00268287, 0.00334405]
[-1.38266, -1.38266] ; [0.00334405, 0.00400953]
[-1.38247, -1.38247] ; [0.00400953, 0.00467938]
[-1.38226, -1.38226] ; [0.00467938, 0.00535361]
[-1.38201, -1.38201] ; [0.00535361, 0.00603229]
[-1.38173, -1.38173] ; [0.00603229, 0.00671546]
[-1.38142, -1.38142] ; [0.00671546, 0.00740315]
[-1.38108, -1.38108] ; [0.00740315, 0.00809541]
[-1.3807, -1.3807] ; [0.00809541, 0.00879229]
[-1.38029, -1.38029] ; [0.00879229, 0.00949384]
[-1.37984, -1.37984] ; [0.00949384, 0.0102001]
[-1.37936, -1.37936] ; [0.0102001, 0.0109111]
[-1.37884, -1.37884] ; [0.0109111, 0.0116269]
[-1.37829, -1.37829] ; [0.0116269, 0.0123476]
[-1.37769, -1.37769] ; [0.0123476, 0.0130731]
[-1.37706, -1.37706] ; [0.0130731, 0.0138036]
[-1.37639, -1.37639] ; [0.0138036, 0.0145391]
[-1.37568, -1.37568] ; [0.0145391, 0.0152796]
[-1.37493, -1.37493] ; [0.0152796, 0.0160253]
[-1.37413, -1.37413] ; [0.0160253, 0.016776]
[-1.3733, -1.3733] ; [0.016776, 0.017532]
[-1.37242, -1.37242] ; [0.017532, 0.0182932]
[-1.3715, -1.3715] ; [0.0182932, 0.0190596]
[-1.37053, -1.37053] ; [0.0190596, 0.0198315]
[-1.36951, -1.36951] ; [0.0198315, 0.0206087]
[-1.36845, -1.36845] ; [0.0206087, 0.0213913]
[-1.36734, -1.36734] ; [0.0213913, 0.0221809]
[-1.36617, -1.36617] ; [0.0221809, 0.0229817]
[-1.36494, -1.36494] ; [0.0229817, 0.0237941]
[-1.36365, -1.36365] ; [0.0237941, 0.0246181]
[-1.3623, -1.3623] ; [0.0246181, 0.0254541]
[-1.36088, -1.36088] ; [0.0254541, 0.0263021]
[-1.35939, -1.35939] ; [0.0263021, 0.0271625]
[-1.35783, -1.35783] ; [0.0271625, 0.0280354]
[-1.3562, -1.3562] ; [0.0280354, 0.028921]
[-1.35449, -1.35449] ; [0.028921, 0.0298196]
[-1.3527, -1.3527] ; [0.0298196, 0.0307314]
[-1.35083, -1.35083] ; [0.0307314, 0.0316565]
[-1.34887, -1.34887] ; [0.0316565, 0.0325954]
[-1.34683, -1.34683] ; [0.0325954, 0.0335481]
[-1.3447, -1.3447] ; [0.0335481, 0.034515]
[-1.34247, -1.34247] ; [0.034515, 0.0354963]
[-1.34014, -1.34014] ; [0.0354963, 0.0364923]
[-1.33772, -1.33772] ; [0.0364923, 0.0375032]
[-1.33519, -1.33519] ; [0.0375032, 0.0385293]
[-1.33255, -1.33255] ; [0.0385293, 0.039571]
[-1.3298, -1.3298] ; [0.039571, 0.0406285]
[-1.32693, -1.32693] ; [0.0406285, 0.0417021]
[-1.32394, -1.32394] ; [0.0417021, 0.0427921]
[-1.32083, -1.32083] ; [0.0427921, 0.0438989]
[-1.31758, -1.31758] ; [0.0438989, 0.0450228]
[-1.3142, -1.3142] ; [0.0450228, 0.0461639]
[-1.31069, -1.31069] ; [0.0461639, 0.0473228]
[-1.30703, -1.30703] ; [0.0473228, 0.0484997]
[-1.30322, -1.30322] ; [0.0484997, 0.0496949]
[-1.29926, -1.29926] ; [0.0496949, 0.0509089]
[-1.29513, -1.29513] ; [0.0509089, 0.0521421]
[-1.29084, -1.29084] ; [0.0521421, 0.0533947]
[-1.28638, -1.28638] ; [0.0533947, 0.0546673]
[-1.28174, -1.28174] ; [0.0546673, 0.0559602]
[-1.27691, -1.27691] ; [0.0559602, 0.0572738]
[-1.2719, -1.2719] ; [0.0572738, 0.0586087]
[-1.26668, -1.26668] ; [0.0586087, 0.0599653]
[-1.26126, -1.26126] ; [0.0599653, 0.061344]
[-1.25562, -1.25562] ; [0.061344, 0.0627454]
[-1.24977, -1.24977] ; [0.0627454, 0.06417]
[-1.24368, -1.24368] ; [0.06417, 0.0656184]
[-1.23735, -1.23735] ; [0.0656184, 0.0670911]
[-1.23077, -1.23077] ; [0.0670911, 0.0685889]
[-1.22393, -1.22393] ; [0.0685889, 0.0701124]
[-1.21683, -1.21683] ; [0.0701124, 0.0716622]
[-1.20944, -1.20944] ; [0.0716622, 0.0732393]
[-1.20176, -1.20176] ; [0.0732393, 0.0748444]
[-1.19378, -1.19378] ; [0.0748444, 0.0764785]
[-1.18547, -1.18547] ; [0.0764785, 0.0781427]
[-1.17684, -1.17684] ; [0.0781427, 0.0798378]
[-1.16786, -1.16786] ; [0.0798378, 0.0815637]
[-1.15853, -1.15853] ; [0.0815637, 0.0833217]
[-1.14882, -1.14882] ; [0.0833217, 0.0851131]
[-1.13872, -1.13872] ; [0.0851131, 0.0869395]
[-1.1282, -1.1282] ; [0.0869395, 0.0888027]
[-1.11725, -1.11725] ; [0.0888027, 0.0907047]
[-1.10583, -1.10583] ; [0.0907047, 0.0926481]
[-1.09392, -1.09392] ; [0.0926481, 0.0946358]
[-1.08147, -1.08147] ; [0.0946358, 0.0966715]
[-1.06844, -1.06844] ; [0.0966715, 0.0987596]
[-1.05479, -1.05479] ; [0.0987596, 0.100906]
[-1.04043, -1.04043] ; [0.100906, 0.103116]
[-1.0253, -1.0253] ; [0.103116, 0.105401]
[-1.00928, -1.00928] ; [0.105401, 0.107772]
[-0.992214, -0.992213] ; [0.107772, 0.110246]
[-0.973901, -0.9739] ; [0.110246, 0.112847]
[-0.954013, -0.954013] ; [0.112847, 0.115612]
[-0.932014, -0.932013] ; [0.115612, 0.118605]
[-0.907562, -0.907561] ; [0.118605, 0.121857]
[-0.89506, -0.895058] ; [0.121857, 0.123491]
[-0.872202, -0.872201] ; [0.123491, 0.126433]
[-0.850588, -0.850586] ; [0.126433, 0.129163]
[-0.830214, -0.830212] ; [0.129163, 0.131694]
[-0.810716, -0.810714] ; [0.131694, 0.134079]
[-0.7919, -0.791898] ; [0.134079, 0.13635]
[-0.773632, -0.77363] ; [0.13635, 0.138527]
[-0.755816, -0.755814] ; [0.138527, 0.140626]
[-0.738382, -0.738379] ; [0.140626, 0.142656]
[-0.721274, -0.721272] ; [0.142656, 0.144628]
[-0.70445, -0.704447] ; [0.144628, 0.146549]
[-0.687872, -0.687869] ; [0.146549, 0.148424]
[-0.671512, -0.671509] ; [0.148424, 0.150259]
[-0.655343, -0.655339] ; [0.150259, 0.152057]
[-0.639342, -0.639339] ; [0.152057, 0.153823]
[-0.623491, -0.623487] ; [0.153823, 0.15556]
[-0.60777, -0.607766] ; [0.15556, 0.15727]
[-0.592167, -0.592163] ; [0.15727, 0.158956]
[-0.576688, -0.576684] ; [0.158956, 0.160618]
[-0.561316, -0.561312] ; [0.160618, 0.162259]
[-0.546057, -0.546053] ; [0.162259, 0.163879]
[-0.530897, -0.530893] ; [0.163879, 0.165479]
[-0.515824, -0.515819] ; [0.165479, 0.167062]
[-0.500824, -0.500819] ; [0.167062, 0.16863]
[-0.485886, -0.485881] ; [0.16863, 0.170184]
[-0.470997, -0.470992] ; [0.170184, 0.171726]
[-0.456147, -0.456142] ; [0.171726, 0.173258]
[-0.441324, -0.441319] ; [0.173258, 0.174782]
[-0.426517, -0.426511] ; [0.174782, 0.176298]
[-0.411714, -0.411708] ; [0.176298, 0.177808]
[-0.396903, -0.396897] ; [0.177808, 0.179314]
[-0.382073, -0.382067] ; [0.179314, 0.180818]
[-0.36721, -0.367204] ; [0.180818, 0.182321]
[-0.352303, -0.352297] ; [0.182321, 0.183824]
[-0.337337, -0.337331] ; [0.183824, 0.18533]
[-0.322299, -0.322292] ; [0.18533, 0.186839]
[-0.307172, -0.307165] ; [0.186839, 0.188354]
[-0.291941, -0.291934] ; [0.188354, 0.189877]
[-0.276588, -0.276581] ; [0.189877, 0.191409]
[-0.261093, -0.261086] ; [0.191409, 0.192953]
[-0.245436, -0.245428] ; [0.192953, 0.194511]
[-0.229593, -0.229585] ; [0.194511, 0.196086]
[-0.213538, -0.21353] ; [0.196086, 0.197681]
[-0.197243, -0.197235] ; [0.197681, 0.199298]
[-0.180675, -0.180666] ; [0.199298, 0.200941]
[-0.163797, -0.163788] ; [0.200941, 0.202614]
[-0.146566, -0.146557] ; [0.202614, 0.204323]
[-0.128934, -0.128924] ; [0.204323, 0.206071]
[-0.11085, -0.11084] ; [0.206071, 0.207864]
[-0.0922612, -0.0922504] ; [0.207864, 0.209709]
[-0.0730895, -0.0730781] ; [0.209709, 0.211613]
[-0.0532451, -0.0532332] ; [0.211613, 0.213587]
[-0.0326196, -0.0326071] ; [0.213587, 0.215641]
[-0.0125927, -0.0125796] ; [0.215641, 0.217639]
[0.00641352, 0.00642732] ; [0.217639, 0.21954]
[0.0247453, 0.0247598] ; [0.21954, 0.221376]
[0.0424896, 0.0425047] ; [0.221376, 0.223158]
[0.0597542, 0.0597699] ; [0.223158, 0.224897]
[0.0766159, 0.0766322] ; [0.224897, 0.226599]
[0.0931366, 0.0931535] ; [0.226599, 0.228271]
[0.109366, 0.109384] ; [0.228271, 0.229919]
[0.125347, 0.125365] ; [0.229919, 0.231546]
[0.141112, 0.141131] ; [0.231546, 0.233157]
[0.156691, 0.156711] ; [0.233157, 0.234754]
[0.17211, 0.17213] ; [0.234754, 0.23634]
[0.18739, 0.187411] ; [0.23634, 0.237917]
[0.202549, 0.202571] ; [0.237917, 0.239488]
[0.217599, 0.217622] ; [0.239488, 0.241053]
[0.232553, 0.232576] ; [0.241053, 0.242615]
[0.247423, 0.247447] ; [0.242615, 0.244174]
[0.262221, 0.262246] ; [0.244174, 0.245732]
[0.276957, 0.276982] ; [0.245732, 0.247291]
[0.29164, 0.291666] ; [0.247291, 0.248852]
[0.306278, 0.306305] ; [0.248852, 0.250415]
[0.320878, 0.320906] ; [0.250415, 0.251981]
[0.335446, 0.335475] ; [0.251981, 0.253552]
[0.349988, 0.350017] ; [0.253552, 0.255129]
[0.364509, 0.364539] ; [0.255129, 0.256712]
[0.379012, 0.379043] ; [0.256712, 0.258302]
[0.393502, 0.393534] ; [0.258302, 0.259899]
[0.407981, 0.408014] ; [0.259899, 0.261505]
[0.422452, 0.422486] ; [0.261505, 0.263121]
[0.436917, 0.436952] ; [0.263121, 0.264745]
[0.451378, 0.451413] ; [0.264745, 0.26638]
[0.465834, 0.465871] ; [0.26638, 0.268026]
[0.480288, 0.480325] ; [0.268026, 0.269683]
[0.494738, 0.494777] ; [0.269683, 0.271352]
[0.509186, 0.509225] ; [0.271352, 0.273033]
[0.523629, 0.52367] ; [0.273033, 0.274726]
[0.538067, 0.538109] ; [0.274726, 0.276433]
[0.552499, 0.552541] ; [0.276433, 0.278152]
[0.566922, 0.566965] ; [0.278152, 0.279886]
[0.581334, 0.581379] ; [0.279886, 0.281634]
[0.595734, 0.595779] ; [0.281634, 0.283396]
[0.610117, 0.610164] ; [0.283396, 0.285172]
[0.624481, 0.624529] ; [0.285172, 0.286964]
