[-0.00012218, 0] ; ([0.0383972, 0.0383972] ; [0, 0] ; [0.872665, 0.872665] ; [0, 0])
[0, 0.00012218] ; ([0.0383969, 0.0383972] ; [-0.00631929, 1.82895e-05] ; [0.872664, 0.872665] ; [-0.0035079, 3.72937e-17])
[0.00012218, 0.000342105] ; ([0.0383942, 0.0383969] ; [-0.0176101, -0.00624213] ; [0.872663, 0.872664] ; [-0.00986185, -0.00350789])
[0.000342105, 0.000737969] ; ([0.0383833, 0.0383942] ; [-0.0376968, -0.0173625] ; [0.872657, 0.872663] ; [-0.0214262, -0.00986175])
[0.000737969, 0.00115242] ; ([0.0383635, 0.0383833] ; [-0.058209, -0.037306] ; [0.872645, 0.872657] ; [-0.0337047, -0.0214256])
[0.00115242, 0.00156967] ; ([0.038335, 0.0383635] ; [-0.0784417, -0.0578054] ; [0.872629, 0.872645] ; [-0.0462393, -0.033704])
[0.00156967, 0.00198969] ; ([0.038298, 0.0383351] ; [-0.0984093, -0.0780408] ; [0.872607, 0.872629] ; [-0.059029, -0.0462386])
[0.00198969, 0.00241251] ; ([0.0382523, 0.038298] ; [-0.118114, -0.0980111] ; [0.872579, 0.872607] ; [-0.0720744, -0.0590283])
[0.00241251, 0.00283818] ; ([0.0381979, 0.0382523] ; [-0.137556, -0.117718] ; [0.872545, 0.872579] ; [-0.085376, -0.0720737])
[0.00283818, 0.00326672] ; ([0.0381349, 0.038198] ; [-0.156739, -0.137164] ; [0.872506, 0.872545] ; [-0.0989346, -0.0853753])
[0.00326672, 0.00369817] ; ([0.0380633, 0.038135] ; [-0.175665, -0.156349] ; [0.87246, 0.872506] ; [-0.112751, -0.0989339])
[0.00369817, 0.00413257] ; ([0.037983, 0.0380633] ; [-0.194333, -0.175277] ; [0.872408, 0.87246] ; [-0.126825, -0.11275])
[0.00413257, 0.00456996] ; ([0.037894, 0.037983] ; [-0.212748, -0.193949] ; [0.87235, 0.872408] ; [-0.141159, -0.126825])
[0.00456996, 0.00501038] ; ([0.0377964, 0.0378941] ; [-0.23091, -0.212366] ; [0.872284, 0.87235] ; [-0.155752, -0.141158])
[0.00501038, 0.00545386] ; ([0.0376901, 0.0377965] ; [-0.248821, -0.230531] ; [0.872212, 0.872284] ; [-0.170606, -0.155752])
[0.00545386, 0.00590045] ; ([0.0375751, 0.0376901] ; [-0.266483, -0.248445] ; [0.872132, 0.872212] ; [-0.185722, -0.170606])
[0.00590045, 0.00635019] ; ([0.0374514, 0.0375752] ; [-0.283897, -0.266109] ; [0.872045, 0.872132] ; [-0.2011, -0.185721])
[0.00635019, 0.00680311] ; ([0.037319, 0.0374515] ; [-0.301066, -0.283527] ; [0.871951, 0.872045] ; [-0.216741, -0.201099])
