[-0.0001447, 0] ; ([-0.00349066, -0.00349066] ; [0, 0] ; [-0.776672, -0.776672] ; [0, 0])
[0, 0.0001447] ; ([-0.00349143, -0.00349066] ; [-0.0106862, 5.35576e-05] ; [-0.776672, -0.776671] ; [-2.76409e-05, 0.0124596])
[0.0001447, 0.00040516] ; ([-0.00349668, -0.00349143] ; [-0.0296762, -0.0104611] ; [-0.776671, -0.776664] ; [0.0123433, 0.0347602])
[0.00040516, 0.000685542] ; ([-0.00350776, -0.00349666] ; [-0.0496392, -0.0293102] ; [-0.776664, -0.776651] ; [0.0345711, 0.0585189])
[0.000685542, 0.000967862] ; ([-0.00352451, -0.00350774] ; [-0.0693285, -0.049251] ; [-0.776651, -0.776632] ; [0.0583181, 0.0822288])
[0.000967862, 0.00125208] ; ([-0.00354693, -0.00352449] ; [-0.0887655, -0.0689427] ; [-0.776632, -0.776605] ; [0.0820291, 0.105899])
[0.00125208, 0.00153821] ; ([-0.00357503, -0.00354691] ; [-0.107952, -0.0883823] ; [-0.776605, -0.776571] ; [0.1057, 0.129531])
[0.00153821, 0.00182628] ; ([-0.00360881, -0.00357501] ; [-0.126889, -0.107571] ; [-0.776571, -0.776531] ; [0.129333, 0.153126])
[0.00182628, 0.00211632] ; ([-0.00364828, -0.00360879] ; [-0.14558, -0.126511] ; [-0.776531, -0.776483] ; [0.15293, 0.176687])
[0.00211632, 0.00240835] ; ([-0.00369344, -0.00364825] ; [-0.164024, -0.145204] ; [-0.776483, -0.776428] ; [0.176492, 0.200215])
[0.00240835, 0.00270239] ; ([-0.0037443, -0.00369342] ; [-0.182225, -0.163651] ; [-0.776428, -0.776365] ; [0.200021, 0.223713])
[0.00270239, 0.00299848] ; ([-0.00380087, -0.00374428] ; [-0.200183, -0.181855] ; [-0.776365, -0.776296] ; [0.22352, 0.247181])
[0.00299848, 0.00329663] ; ([-0.00386315, -0.00380084] ; [-0.217901, -0.199815] ; [-0.776296, -0.776219] ; [0.246989, 0.270622])
[0.00329663, 0.00359687] ; ([-0.00393115, -0.00386312] ; [-0.235379, -0.217536] ; [-0.776219, -0.776134] ; [0.270431, 0.294038])
[0.00359687, 0.00389924] ; ([-0.00400488, -0.00393113] ; [-0.25262, -0.235017] ; [-0.776134, -0.776041] ; [0.293848, 0.31743])
[0.00389924, 0.00420375] ; ([-0.00408435, -0.00400486] ; [-0.269626, -0.252261] ; [-0.776041, -0.775941] ; [0.317242, 0.340801])
[0.00420375, 0.00451044] ; ([-0.00416957, -0.00408433] ; [-0.286397, -0.269269] ; [-0.775941, -0.775833] ; [0.340614, 0.364152])
[0.00451044, 0.00481933] ; ([-0.00426054, -0.00416954] ; [-0.302936, -0.286043] ; [-0.775833, -0.775717] ; [0.363966, 0.387486])
[0.00481933, 0.00513046] ; ([-0.00435729, -0.00426052] ; [-0.319244, -0.302584] ; [-0.775717, -0.775593] ; [0.387301, 0.410805])
[0.00513046, 0.00544385] ; ([-0.00445981, -0.00435726] ; [-0.335324, -0.318895] ; [-0.775593, -0.775461] ; [0.410621, 0.43411])
[0.00544385, 0.00575953] ; ([-0.00456812, -0.00445978] ; [-0.351175, -0.334977] ; [-0.775461, -0.77532] ; [0.433927, 0.457404])
[0.00575953, 0.00607755] ; ([-0.00468224, -0.0045681] ; [-0.366802, -0.350831] ; [-0.77532, -0.775171] ; [0.457222, 0.480688])
[0.00607755, 0.00639791] ; ([-0.00480217, -0.00468221] ; [-0.382204, -0.36646] ; [-0.775171, -0.775013] ; [0.480507, 0.503965])
[0.00639791, 0.00672067] ; ([-0.00492794, -0.00480215] ; [-0.397383, -0.381864] ; [-0.775013, -0.774847] ; [0.503786, 0.527238])
[0.00672067, 0.00704585] ; ([-0.00505955, -0.00492791] ; [-0.412342, -0.397047] ; [-0.774847, -0.774671] ; [0.527059, 0.550507])
