[-0.000196848, 0] ; ([0.233874, 0.233874] ; [0, 0] ; [-1.38317, -1.38317] ; [0, 0])
[0, 0.000196848] ; ([0.233873, 0.233874] ; [-0.00929421, 4.65099e-05] ; [-1.38317, -1.38317] ; [-6.97121e-06, 0.0146819])
[0.000196848, 0.000551173] ; ([0.233867, 0.233873] ; [-0.0258109, -0.00909872] ; [-1.38317, -1.38316] ; [0.0146525, 0.0410773])
[0.000551173, 0.000991642] ; ([0.233851, 0.233867] ; [-0.0458852, -0.0254365] ; [-1.38316, -1.38314] ; [0.0410211, 0.0738212])
[0.000991642, 0.0014358] ; ([0.233827, 0.233851] ; [-0.0656019, -0.0454361] ; [-1.38314, -1.3831] ; [0.0737537, 0.10676])
[0.0014358, 0.00188343] ; ([0.233793, 0.233827] ; [-0.0850284, -0.065156] ; [-1.3831, -1.38304] ; [0.106693, 0.13989])
[0.00188343, 0.00233458] ; ([0.23375, 0.233793] ; [-0.104167, -0.084586] ; [-1.38304, -1.38297] ; [0.139823, 0.173213])
[0.00233458, 0.00278931] ; ([0.233699, 0.23375] ; [-0.123021, -0.103729] ; [-1.38297, -1.38288] ; [0.173147, 0.206735])
[0.00278931, 0.00324768] ; ([0.233638, 0.233699] ; [-0.141593, -0.122586] ; [-1.38288, -1.38278] ; [0.206669, 0.240459])
[0.00324768, 0.00370974] ; ([0.233569, 0.233638] ; [-0.159884, -0.141161] ; [-1.38278, -1.38266] ; [0.240393, 0.274389])
[0.00370974, 0.00417555] ; ([0.23349, 0.233569] ; [-0.177898, -0.159456] ; [-1.38266, -1.38253] ; [0.274324, 0.30853])
[0.00417555, 0.00464518] ; ([0.233402, 0.23349] ; [-0.195637, -0.177474] ; [-1.38253, -1.38237] ; [0.308465, 0.342886])
[0.00464518, 0.00511869] ; ([0.233306, 0.233402] ; [-0.213104, -0.195216] ; [-1.38237, -1.3822] ; [0.342821, 0.37746])
[0.00511869, 0.00559614] ; ([0.2332, 0.233306] ; [-0.230301, -0.212686] ; [-1.3822, -1.38202] ; [0.377396, 0.412259])
[0.00559614, 0.00607759] ; ([0.233085, 0.2332] ; [-0.24723, -0.229887] ; [-1.38202, -1.38181] ; [0.412194, 0.447285])
[0.00607759, 0.00656312] ; ([0.232961, 0.233085] ; [-0.263895, -0.24682] ; [-1.38181, -1.38158] ; [0.447221, 0.482545])
[0.00656312, 0.0070528] ; ([0.232828, 0.232961] ; [-0.280297, -0.263488] ; [-1.38158, -1.38134] ; [0.482481, 0.518042])
[0.0070528, 0.00754669] ; ([0.232686, 0.232828] ; [-0.29644, -0.279894] ; [-1.38134, -1.38107] ; [0.517978, 0.553781])
[0.00754669, 0.00804488] ; ([0.232534, 0.232686] ; [-0.312326, -0.296041] ; [-1.38107, -1.38079] ; [0.553718, 0.589769])
[0.00804488, 0.00854743] ; ([0.232373, 0.232534] ; [-0.327958, -0.31193] ; [-1.38079, -1.38048] ; [0.589706, 0.626009])
[0.00854743, 0.00905443] ; ([0.232203, 0.232373] ; [-0.343338, -0.327566] ; [-1.38048, -1.38016] ; [0.625946, 0.662507])
[0.00905443, 0.00956595] ; ([0.232024, 0.232203] ; [-0.358469, -0.342949] ; [-1.38016, -1.37981] ; [0.662445, 0.699269])
[0.00956595, 0.0100821] ; ([0.231835, 0.232024] ; [-0.373354, -0.358084] ; [-1.37981, -1.37944] ; [0.699207, 0.7363])
[0.0100821, 0.0106029] ; ([0.231637, 0.231835] ; [-0.387994, -0.372972] ; [-1.37944, -1.37904] ; [0.736238, 0.773606])
[0.0106029, 0.0111285] ; ([0.231429, 0.231637] ; [-0.402394, -0.387616] ; [-1.37904, -1.37863] ; [0.773544, 0.811192])
[0.0111285, 0.011659] ; ([0.231212, 0.231429] ; [-0.416556, -0.40202] ; [-1.37863, -1.37819] ; [0.81113, 0.849065])
[0.011659, 0.0121944] ; ([0.230985, 0.231212] ; [-0.430482, -0.416185] ; [-1.37819, -1.37772] ; [0.849003, 0.887231])
[0.0121944, 0.0127349] ; ([0.230749, 0.230985] ; [-0.444175, -0.430115] ; [-1.37772, -1.37723] ; [0.887169, 0.925696])
[0.0127349, 0.0132806] ; ([0.230503, 0.230749] ; [-0.457638, -0.443812] ; [-1.37723, -1.37672] ; [0.925634, 0.964467])
[0.0132806, 0.0138315] ; ([0.230247, 0.230503] ; [-0.470874, -0.457278] ; [-1.37672, -1.37617] ; [0.964405, 1.00355])
[0.0138315, 0.0143877] ; ([0.229982, 0.230247] ; [-0.483886, -0.470518] ; [-1.37617, -1.37561] ; [1.00349, 1.04295])
[0.0143877, 0.0149495] ; ([0.229707, 0.229982] ; [-0.496676, -0.483533] ; [-1.37561, -1.37501] ; [1.04289, 1.08268])
[0.0149495, 0.0155168] ; ([0.229421, 0.229707] ; [-0.509247, -0.496327] ; [-1.37501, -1.37438] ; [1.08262, 1.12274])
[0.0155168, 0.0160899] ; ([0.229126, 0.229421] ; [-0.521602, -0.508902] ; [-1.37438, -1.37373] ; [1.12268, 1.16315])
[0.0160899, 0.0166687] ; ([0.228821, 0.229126] ; [-0.533744, -0.521261] ; [-1.37373, -1.37304] ; [1.16309, 1.2039])
[0.0166687, 0.0172535] ; ([0.228505, 0.228821] ; [-0.545677, -0.533407] ; [-1.37304, -1.37233] ; [1.20384, 1.24501])
[0.0172535, 0.0178444] ; ([0.228179, 0.228505] ; [-0.557402, -0.545342] ; [-1.37233, -1.37158] ; [1.24495, 1.28649])
[0.0178444, 0.0184415] ; ([0.227843, 0.228179] ; [-0.568923, -0.557071] ; [-1.37158, -1.3708] ; [1.28643, 1.32834])
