[-0.000214825, 0] ; ([-0.00698132, -0.00698132] ; [0, 0] ; [-1.74533, -1.74533] ; [0, 0])
[0, 0.000214825] ; ([-0.00698248, -0.00698132] ; [-0.0108642, 5.01651e-05] ; [-1.74533, -1.74533] ; [-1.00567e-16, 0.0133842])
[0.000214825, 0.000601511] ; ([-0.00699041, -0.00698248] ; [-0.0301899, -0.0106531] ; [-1.74533, -1.74532] ; [0.0133841, 0.0375028])
[0.000601511, 0.00110587] ; ([-0.0070118, -0.00699039] ; [-0.0548856, -0.0297604] ; [-1.74532, -1.74529] ; [0.0375027, 0.0690131])
[0.00110587, 0.00161439] ; ([-0.00704577, -0.00701176] ; [-0.0791419, -0.0543504] ; [-1.74529, -1.74525] ; [0.0690128, 0.100841])
[0.00161439, 0.00212668] ; ([-0.00709232, -0.00704572] ; [-0.103047, -0.0786101] ; [-1.74525, -1.74519] ; [0.100841, 0.132963])
[0.00212668, 0.00264278] ; ([-0.00715147, -0.00709227] ; [-0.126606, -0.10252] ; [-1.74519, -1.74511] ; [0.132963, 0.165383])
[0.00264278, 0.00316277] ; ([-0.00722323, -0.00715142] ; [-0.14982, -0.126082] ; [-1.74511, -1.74502] ; [0.165382, 0.198104])
[0.00316277, 0.0036867] ; ([-0.0073076, -0.00722318] ; [-0.172692, -0.1493] ; [-1.74502, -1.7449] ; [0.198103, 0.231131])
[0.0036867, 0.00421464] ; ([-0.00740461, -0.00730755] ; [-0.195227, -0.172177] ; [-1.7449, -1.74477] ; [0.23113, 0.264468])
[0.00421464, 0.00474666] ; ([-0.00751427, -0.00740456] ; [-0.217426, -0.194715] ; [-1.74477, -1.74462] ; [0.264468, 0.29812])
[0.00474666, 0.00528282] ; ([-0.00763659, -0.00751421] ; [-0.239292, -0.216918] ; [-1.74462, -1.74445] ; [0.298119, 0.33209])
[0.00528282, 0.0058232] ; ([-0.00777161, -0.00763654] ; [-0.260829, -0.238788] ; [-1.74445, -1.74427] ; [0.33209, 0.366385])
[0.0058232, 0.00636786] ; ([-0.00791934, -0.00777155] ; [-0.28204, -0.26033] ; [-1.74427, -1.74406] ; [0.366384, 0.401007])
[0.00636786, 0.00691688] ; ([-0.0080798, -0.00791928] ; [-0.302927, -0.281544] ; [-1.74406, -1.74383] ; [0.401007, 0.435963])
[0.00691688, 0.00747034] ; ([-0.00825304, -0.00807974] ; [-0.323495, -0.302436] ; [-1.74383, -1.74358] ; [0.435963, 0.471258])
[0.00747034, 0.00802831] ; ([-0.00843908, -0.00825298] ; [-0.343745, -0.323007] ; [-1.74358, -1.7433] ; [0.471257, 0.506895])
[0.00802831, 0.00859087] ; ([-0.00863795, -0.00843901] ; [-0.363681, -0.343261] ; [-1.7433, -1.74301] ; [0.506895, 0.542881])
[0.00859087, 0.00915811] ; ([-0.0088497, -0.00863789] ; [-0.383306, -0.363201] ; [-1.74301, -1.74269] ; [0.542881, 0.579222])
[0.00915811, 0.00973012] ; ([-0.00907437, -0.00884963] ; [-0.402623, -0.38283] ; [-1.74269, -1.74235] ; [0.579221, 0.615922])
[0.00973012, 0.010307] ; ([-0.00931199, -0.0090743] ; [-0.421636, -0.402152] ; [-1.74235, -1.74198] ; [0.615921, 0.652987])
[0.010307, 0.0108888] ; ([-0.00956263, -0.00931192] ; [-0.440347, -0.421168] ; [-1.74198, -1.74159] ; [0.652987, 0.690424])
[0.0108888, 0.0114756] ; ([-0.00982633, -0.00956256] ; [-0.458759, -0.439884] ; [-1.74159, -1.74117] ; [0.690424, 0.728239])
[0.0114756, 0.0120675] ; ([-0.0101031, -0.00982625] ; [-0.476877, -0.458301] ; [-1.74117, -1.74073] ; [0.728238, 0.766437])
[0.0120675, 0.0126647] ; ([-0.0103931, -0.0101031] ; [-0.494703, -0.476422] ; [-1.74073, -1.74026] ; [0.766436, 0.805025])
[0.0126647, 0.0132672] ; ([-0.0106964, -0.0103931] ; [-0.512241, -0.494253] ; [-1.74026, -1.73977] ; [0.805025, 0.844011])
[0.0132672, 0.0138752] ; ([-0.0110129, -0.0106963] ; [-0.529493, -0.511794] ; [-1.73977, -1.73924] ; [0.84401, 0.8834])
[0.0138752, 0.0144887] ; ([-0.0113429, -0.0110128] ; [-0.546463, -0.52905] ; [-1.73924, -1.73869] ; [0.883399, 0.9232])
[0.0144887, 0.0151079] ; ([-0.0116863, -0.0113428] ; [-0.563155, -0.546025] ; [-1.73869, -1.7381] ; [0.923199, 0.963419])
[0.0151079, 0.0157328] ; ([-0.0120432, -0.0116862] ; [-0.579571, -0.562721] ; [-1.7381, -1.73749] ; [0.963418, 1.00406])
[0.0157328, 0.0163636] ; ([-0.0124138, -0.0120431] ; [-0.595716, -0.579141] ; [-1.73749, -1.73684] ; [1.00406, 1.04514])
[0.0163636, 0.0170005] ; ([-0.0127981, -0.0124137] ; [-0.611592, -0.59529] ; [-1.73684, -1.73616] ; [1.04514, 1.08666])
[0.0170005, 0.0176434] ; ([-0.0131963, -0.012798] ; [-0.627203, -0.61117] ; [-1.73616, -1.73545] ; [1.08666, 1.12863])
[0.0176434, 0.0182927] ; ([-0.0136084, -0.0131962] ; [-0.642553, -0.626786] ; [-1.73545, -1.7347] ; [1.12863, 1.17106])
[0.0182927, 0.0189484] ; ([-0.0140345, -0.0136083] ; [-0.657645, -0.64214] ; [-1.7347, -1.73392] ; [1.17106, 1.21396])
[0.0189484, 0.0196107] ; ([-0.0144749, -0.0140344] ; [-0.672483, -0.657236] ; [-1.73392, -1.7331] ; [1.21396, 1.25734])
[0.0196107, 0.0202797] ; ([-0.0149295, -0.0144748] ; [-0.68707, -0.672078] ; [-1.7331, -1.73225] ; [1.25734, 1.3012])
[0.0202797, 0.0209555] ; ([-0.0153986, -0.0149294] ; [-0.70141, -0.686669] ; [-1.73225, -1.73135] ; [1.3012, 1.34556])
[0.0209555, 0.0216384] ; ([-0.0158823, -0.0153985] ; [-0.715507, -0.701014] ; [-1.73135, -1.73042] ; [1.34556, 1.39043])
[0.0216384, 0.0223285] ; ([-0.0163808, -0.0158822] ; [-0.729365, -0.715115] ; [-1.73042, -1.72944] ; [1.39043, 1.43582])
[0.0223285, 0.023026] ; ([-0.0168941, -0.0163806] ; [-0.742986, -0.728977] ; [-1.72944, -1.72843] ; [1.43582, 1.48174])
[0.023026, 0.023731] ; ([-0.0174225, -0.016894] ; [-0.756377, -0.742603] ; [-1.72843, -1.72737] ; [1.48174, 1.5282])
[0.023731, 0.0244438] ; ([-0.0179663, -0.0174224] ; [-0.769539, -0.755998] ; [-1.72737, -1.72626] ; [1.5282, 1.57522])
[0.0244438, 0.0251645] ; ([-0.0185255, -0.0179661] ; [-0.782478, -0.769165] ; [-1.72626, -1.72511] ; [1.57522, 1.62281])
[0.0251645, 0.0258934] ; ([-0.0191003, -0.0185253] ; [-0.795197, -0.782108] ; [-1.72511, -1.72391] ; [1.6228, 1.67097])
[0.0258934, 0.0266307] ; ([-0.0196911, -0.0191002] ; [-0.8077, -0.794831] ; [-1.72391, -1.72266] ; [1.67097, 1.71974])
[0.0266307, 0.0273766] ; ([-0.020298, -0.019691] ; [-0.819992, -0.807339] ; [-1.72266, -1.72136] ; [1.71974, 1.76911])
[0.0273766, 0.0281355] ; ([-0.0209248, -0.0202979] ; [-0.832146, -0.819634] ; [-1.72136, -1.71999] ; [1.76911, 1.8194])
[0.0281355, 0.0289083] ; ([-0.0215725, -0.0209247] ; [-0.844167, -0.831788] ; [-1.71999, -1.71857] ; [1.81939, 1.87064])
[0.0289083, 0.0296955] ; ([-0.0222416, -0.0215723] ; [-0.856056, -0.843809] ; [-1.71857, -1.71708] ; [1.87064, 1.92288])
[0.0296955, 0.0304976] ; ([-0.0229328, -0.0222414] ; [-0.867816, -0.855699] ; [-1.71708, -1.71551] ; [1.92288, 1.97614])
[0.0304976, 0.031315] ; ([-0.0236468, -0.0229326] ; [-0.879447, -0.867459] ; [-1.71551, -1.71387] ; [1.97614, 2.03047])
[0.031315, 0.0321485] ; ([-0.0243844, -0.0236466] ; [-0.890953, -0.879091] ; [-1.71387, -1.71216] ; [2.03047, 2.0859])
[0.0321485, 0.0329985] ; ([-0.0251465, -0.0243843] ; [-0.902335, -0.890597] ; [-1.71216, -1.71036] ; [2.0859, 2.14248])
[0.0329985, 0.0338657] ; ([-0.0259338, -0.0251463] ; [-0.913598, -0.901981] ; [-1.71036, -1.70848] ; [2.14248, 2.20024])
[0.0338657, 0.0347509] ; ([-0.0267473, -0.0259336] ; [-0.924743, -0.913244] ; [-1.70848, -1.7065] ; [2.20024, 2.25924])
[0.0347509, 0.0356548] ; ([-0.0275881, -0.0267471] ; [-0.935775, -0.924391] ; [-1.70651, -1.70444] ; [2.25924, 2.31952])
[0.0356548, 0.0365782] ; ([-0.028457, -0.0275878] ; [-0.946698, -0.935424] ; [-1.70444, -1.70227] ; [2.31952, 2.38115])
[0.0365782, 0.0375219] ; ([-0.0293554, -0.0284568] ; [-0.957516, -0.946348] ; [-1.70227, -1.69999] ; [2.38115, 2.44417])
[0.0375219, 0.0384869] ; ([-0.0302845, -0.0293552] ; [-0.968235, -0.957168] ; [-1.69999, -1.6976] ; [2.44416, 2.50864])
[0.0384869, 0.0394742] ; ([-0.0312455, -0.0302843] ; [-0.978859, -0.967888] ; [-1.6976, -1.69509] ; [2.50864, 2.57465])
[0.0394742, 0.0404849] ; ([-0.0322401, -0.0312453] ; [-0.989396, -0.978515] ; [-1.69509, -1.69245] ; [2.57465, 2.64225])
[0.0404849, 0.0415202] ; ([-0.0332696, -0.0322398] ; [-0.999852, -0.989054] ; [-1.69245, -1.68968] ; [2.64225, 2.71154])
[0.0415202, 0.0425812] ; ([-0.0343358, -0.0332693] ; [-1.01023, -0.999512] ; [-1.68968, -1.68677] ; [2.71153, 2.78258])
[0.0425812, 0.0436694] ; ([-0.0354407, -0.0343355] ; [-1.02055, -1.0099] ; [-1.68677, -1.6837] ; [2.78258, 2.85548])
[0.0436694, 0.0447864] ; ([-0.0365862, -0.0354404] ; [-1.03081, -1.02022] ; [-1.6837, -1.68047] ; [2.85548, 2.93034])
[0.0447864, 0.0459338] ; ([-0.0377747, -0.0365859] ; [-1.04103, -1.03048] ; [-1.68047, -1.67706] ; [2.93034, 3.00727])
[0.0459338, 0.0471136] ; ([-0.0390088, -0.0377744] ; [-1.05122, -1.0407] ; [-1.67706, -1.67347] ; [3.00727, 3.0864])
[0.0471136, 0.0483278] ; ([-0.0402912, -0.0390084] ; [-1.06139, -1.05089] ; [-1.67347, -1.66967] ; [3.0864, 3.16787])
[0.0483278, 0.0495789] ; ([-0.0416253, -0.0402908] ; [-1.07155, -1.06107] ; [-1.66967, -1.66565] ; [3.16787, 3.25184])
[0.0495789, 0.0508694] ; ([-0.0430146, -0.0416249] ; [-1.08173, -1.07124] ; [-1.66565, -1.6614] ; [3.25184, 3.33848])
[0.0508694, 0.0522024] ; ([-0.0444632, -0.0430141] ; [-1.09195, -1.08142] ; [-1.6614, -1.65689] ; [3.33848, 3.42799])
[0.0522024, 0.0535813] ; ([-0.0459758, -0.0444627] ; [-1.10222, -1.09164] ; [-1.65689, -1.6521] ; [3.42799, 3.52061])
[0.0535813, 0.0550101] ; ([-0.0475579, -0.0459753] ; [-1.11258, -1.10192] ; [-1.6521, -1.647] ; [3.52061, 3.6166])
[0.0550101, 0.0564934] ; ([-0.0492159, -0.0475573] ; [-1.12306, -1.11229] ; [-1.647, -1.64156] ; [3.6166, 3.71627])
[0.0564934, 0.0580366] ; ([-0.0509571, -0.0492152] ; [-1.13369, -1.12277] ; [-1.64156, -1.63575] ; [3.71626, 3.81996])
[0.0580366, 0.0596462] ; ([-0.0527905, -0.0509564] ; [-1.14452, -1.13341] ; [-1.63575, -1.62951] ; [3.81996, 3.92813])
[0.0596462, 0.06133] ; ([-0.0547269, -0.0527897] ; [-1.15561, -1.14426] ; [-1.62951, -1.6228] ; [3.92812, 4.04127])
[0.06133, 0.0630975] ; ([-0.0567794, -0.054726] ; [-1.16701, -1.15535] ; [-1.6228, -1.61556] ; [4.04126, 4.16004])
