[-0.000125263, 0] ; ([0.0383972, 0.0383972] ; [0, 0] ; [0.872665, 0.872665] ; [0, 0])
[0, 0.000125263] ; ([0.0383968, 0.0383972] ; [-0.00632315, 1.84874e-05] ; [0.872664, 0.872665] ; [-0.00362741, 3.87282e-17])
[0.000125263, 0.000350735] ; ([0.0383942, 0.0383968] ; [-0.01762, -0.00624515] ; [0.872663, 0.872664] ; [-0.0101964, -0.0036274])
[0.000350735, 0.000756586] ; ([0.0383829, 0.0383942] ; [-0.0377151, -0.0173698] ; [0.872656, 0.872663] ; [-0.0221477, -0.0101963])
[0.000756586, 0.00117857] ; ([0.0383628, 0.038383] ; [-0.0580878, -0.037323] ; [0.872644, 0.872656] ; [-0.0347431, -0.0221471])
[0.00117857, 0.00160339] ; ([0.0383339, 0.0383628] ; [-0.0781842, -0.0576856] ; [0.872627, 0.872644] ; [-0.0475939, -0.0347424])
[0.00160339, 0.00203105] ; ([0.0382963, 0.0383339] ; [-0.0980165, -0.0777847] ; [0.872604, 0.872627] ; [-0.0606995, -0.0475932])
[0.00203105, 0.00246157] ; ([0.03825, 0.0382963] ; [-0.117586, -0.0976197] ; [0.872575, 0.872604] ; [-0.0740605, -0.0606988])
[0.00246157, 0.00289499] ; ([0.0381949, 0.03825] ; [-0.136896, -0.117192] ; [0.87254, 0.872575] ; [-0.0876775, -0.0740598])
[0.00289499, 0.00333136] ; ([0.0381311, 0.0381949] ; [-0.155946, -0.136505] ; [0.872498, 0.87254] ; [-0.101551, -0.0876767])
[0.00333136, 0.00377069] ; ([0.0380585, 0.0381311] ; [-0.17474, -0.155558] ; [0.872451, 0.872498] ; [-0.115682, -0.10155])
[0.00377069, 0.00421305] ; ([0.0379772, 0.0380585] ; [-0.193278, -0.174354] ; [0.872396, 0.872451] ; [-0.130071, -0.115681])
[0.00421305, 0.00465845] ; ([0.0378871, 0.0379772] ; [-0.211563, -0.192895] ; [0.872335, 0.872396] ; [-0.144719, -0.13007])
