[-0.000137011, 0] ; ([-0.00349066, -0.00349066] ; [0, 0] ; [-0.776672, -0.776672] ; [0, 0])
[0, 0.000137011] ; ([-0.0034914, -0.00349066] ; [-0.0107772, 5.40178e-05] ; [-0.776672, -0.776671] ; [-2.87656e-05, 0.0125308])
[0.000137011, 0.000383631] ; ([-0.00349641, -0.00349139] ; [-0.0299289, -0.0105501] ; [-0.776671, -0.776665] ; [0.0124098, 0.0349544])
[0.000383631, 0.000648345] ; ([-0.00350695, -0.00349639] ; [-0.050003, -0.0295608] ; [-0.776665, -0.776652] ; [0.0347582, 0.058766])
[0.000648345, 0.000914879] ; ([-0.00352287, -0.00350693] ; [-0.0698033, -0.0496136] ; [-0.776652, -0.776634] ; [0.0585583, 0.0825216])
[0.000914879, 0.0011832] ; ([-0.00354418, -0.00352286] ; [-0.0893506, -0.0694165] ; [-0.776634, -0.776608] ; [0.082315, 0.10623])
[0.0011832, 0.00145332] ; ([-0.00357088, -0.00354416] ; [-0.108647, -0.0889664] ; [-0.776608, -0.776576] ; [0.106025, 0.129894])
[0.00145332, 0.00172527] ; ([-0.00360298, -0.00357086] ; [-0.127693, -0.108265] ; [-0.776576, -0.776538] ; [0.12969, 0.153514])
[0.00172527, 0.00199907] ; ([-0.00364047, -0.00360296] ; [-0.146491, -0.127314] ; [-0.776538, -0.776493] ; [0.153311, 0.177092])
[0.00199907, 0.00227474] ; ([-0.00368337, -0.00364045] ; [-0.165043, -0.146115] ; [-0.776493, -0.776441] ; [0.176891, 0.200631])
[0.00227474, 0.00255231] ; ([-0.00373167, -0.00368335] ; [-0.18335, -0.164669] ; [-0.776441, -0.776382] ; [0.200431, 0.224132])
[0.00255231, 0.0028318] ; ([-0.0037854, -0.00373165] ; [-0.201414, -0.182979] ; [-0.776382, -0.776316] ; [0.223933, 0.247597])
[0.0028318, 0.00311323] ; ([-0.00384455, -0.00378538] ; [-0.219237, -0.201046] ; [-0.776316, -0.776243] ; [0.247398, 0.271027])
[0.00311323, 0.00339663] ; ([-0.00390913, -0.00384453] ; [-0.23682, -0.218871] ; [-0.776243, -0.776163] ; [0.27083, 0.294426])
[0.00339663, 0.00368202] ; ([-0.00397915, -0.00390911] ; [-0.254164, -0.236456] ; [-0.776163, -0.776075] ; [0.29423, 0.317793])
[0.00368202, 0.00396944] ; ([-0.00405462, -0.00397913] ; [-0.271272, -0.253803] ; [-0.776075, -0.775981] ; [0.317599, 0.341133])
[0.00396944, 0.0042589] ; ([-0.00413554, -0.00405459] ; [-0.288146, -0.270914] ; [-0.775981, -0.775879] ; [0.340939, 0.364446])
[0.0042589, 0.00455044] ; ([-0.00422193, -0.00413552] ; [-0.304786, -0.28779] ; [-0.775879, -0.775769] ; [0.364253, 0.387734])
[0.00455044, 0.00484408] ; ([-0.00431379, -0.0042219] ; [-0.321194, -0.304433] ; [-0.775769, -0.775652] ; [0.387543, 0.411])
[0.00484408, 0.00513984] ; ([-0.00441114, -0.00431376] ; [-0.337373, -0.320844] ; [-0.775652, -0.775527] ; [0.41081, 0.434246])
[0.00513984, 0.00543777] ; ([-0.00451398, -0.00441111] ; [-0.353324, -0.337025] ; [-0.775527, -0.775394] ; [0.434057, 0.457473])
[0.00543777, 0.00573788] ; ([-0.00462234, -0.00451396] ; [-0.369048, -0.352978] ; [-0.775394, -0.775253] ; [0.457285, 0.480684])
[0.00573788, 0.00604021] ; ([-0.00473621, -0.00462231] ; [-0.384547, -0.368705] ; [-0.775253, -0.775104] ; [0.480497, 0.503881])
[0.00604021, 0.00634479] ; ([-0.00485562, -0.00473618] ; [-0.399823, -0.384207] ; [-0.775104, -0.774947] ; [0.503695, 0.527065])
[0.00634479, 0.00665164] ; ([-0.00498057, -0.00485559] ; [-0.414878, -0.399486] ; [-0.774947, -0.774782] ; [0.526881, 0.55024])
[0.00665164, 0.00696081] ; ([-0.00511109, -0.00498054] ; [-0.429713, -0.414543] ; [-0.774782, -0.774609] ; [0.550057, 0.573407])
[0.00696081, 0.00727231] ; ([-0.00524718, -0.00511106] ; [-0.444329, -0.42938] ; [-0.774609, -0.774426] ; [0.573225, 0.596568])
[0.00727231, 0.0075862] ; ([-0.00538887, -0.00524715] ; [-0.458729, -0.443999] ; [-0.774426, -0.774235] ; [0.596387, 0.619726])
[0.0075862, 0.00790249] ; ([-0.00553616, -0.00538884] ; [-0.472915, -0.458402] ; [-0.774235, -0.774036] ; [0.619546, 0.642883])
[0.00790249, 0.00822123] ; ([-0.00568908, -0.00553613] ; [-0.486887, -0.47259] ; [-0.774036, -0.773827] ; [0.642705, 0.666042])
[0.00822123, 0.00854245] ; ([-0.00584765, -0.00568905] ; [-0.500648, -0.486565] ; [-0.773827, -0.77361] ; [0.665864, 0.689204])
[0.00854245, 0.00886618] ; ([-0.00601187, -0.00584761] ; [-0.5142, -0.500329] ; [-0.77361, -0.773383] ; [0.689027, 0.712372])
[0.00886618, 0.00919247] ; ([-0.00618179, -0.00601184] ; [-0.527543, -0.513883] ; [-0.773383, -0.773147] ; [0.712196, 0.735548])
[0.00919247, 0.00952135] ; ([-0.0063574, -0.00618175] ; [-0.54068, -0.527229] ; [-0.773147, -0.772901] ; [0.735374, 0.758735])
[0.00952135, 0.00985286] ; ([-0.00653874, -0.00635737] ; [-0.553612, -0.540368] ; [-0.772901, -0.772646] ; [0.758562, 0.781935])
[0.00985286, 0.0101876] ; ([-0.00672615, -0.00653871] ; [-0.566364, -0.553303] ; [-0.772646, -0.77238] ; [0.781763, 0.805191])
[0.0101876, 0.0105265] ; ([-0.0069202, -0.00672612] ; [-0.578968, -0.566055] ; [-0.77238, -0.772103] ; [0.805018, 0.828565])
[0.0105265, 0.0108697] ; ([-0.00712098, -0.00692016] ; [-0.591422, -0.578659] ; [-0.772103, -0.771815] ; [0.828392, 0.852061])
[0.0108697, 0.0112172] ; ([-0.0073286, -0.00712094] ; [-0.603727, -0.591113] ; [-0.771815, -0.771515] ; [0.851888, 0.875682])
[0.0112172, 0.0115691] ; ([-0.00754317, -0.00732857] ; [-0.615881, -0.603418] ; [-0.771515, -0.771202] ; [0.875508, 0.899429])
[0.0115691, 0.0119256] ; ([-0.00776477, -0.00754313] ; [-0.627882, -0.615572] ; [-0.771202, -0.770877] ; [0.899255, 0.923307])
[0.0119256, 0.0122866] ; ([-0.00799353, -0.00776473] ; [-0.639731, -0.627574] ; [-0.770877, -0.77054] ; [0.923132, 0.947317])
[0.0122866, 0.0126522] ; ([-0.00822954, -0.00799349] ; [-0.651427, -0.639423] ; [-0.77054, -0.770189] ; [0.947142, 0.971464])
[0.0126522, 0.0130226] ; ([-0.00847293, -0.0082295] ; [-0.662968, -0.651119] ; [-0.770189, -0.769825] ; [0.971288, 0.99575])
[0.0130226, 0.0133979] ; ([-0.0087238, -0.00847289] ; [-0.674354, -0.662661] ; [-0.769825, -0.769446] ; [0.995574, 1.02018])
[0.0133979, 0.0137781] ; ([-0.00898227, -0.00872375] ; [-0.685585, -0.674047] ; [-0.769446, -0.769054] ; [1.02, 1.04476])
[0.0137781, 0.0141633] ; ([-0.00924846, -0.00898222] ; [-0.69666, -0.685278] ; [-0.769054, -0.768647] ; [1.04458, 1.06948])
[0.0141633, 0.0145537] ; ([-0.0095225, -0.00924841] ; [-0.707578, -0.696354] ; [-0.768647, -0.768224] ; [1.0693, 1.09436])
[0.0145537, 0.0149493] ; ([-0.0098045, -0.00952245] ; [-0.718339, -0.707272] ; [-0.768224, -0.767787] ; [1.09419, 1.1194])
[0.0149493, 0.0153502] ; ([-0.0100946, -0.00980445] ; [-0.728943, -0.718034] ; [-0.767787, -0.767333] ; [1.11922, 1.1446])
[0.0153502, 0.0157567] ; ([-0.0103929, -0.0100946] ; [-0.739389, -0.728638] ; [-0.767333, -0.766862] ; [1.14443, 1.16997])
[0.0157567, 0.0161687] ; ([-0.0106997, -0.0103929] ; [-0.749676, -0.739085] ; [-0.766862, -0.766375] ; [1.1698, 1.19552])
[0.0161687, 0.0165864] ; ([-0.0110149, -0.0106996] ; [-0.759806, -0.749374] ; [-0.766375, -0.76587] ; [1.19534, 1.22124])
[0.0165864, 0.01701] ; ([-0.0113388, -0.0110148] ; [-0.769777, -0.759504] ; [-0.76587, -0.765348] ; [1.22106, 1.24714])
[0.01701, 0.0174395] ; ([-0.0116714, -0.0113387] ; [-0.779589, -0.769476] ; [-0.765348, -0.764806] ; [1.24696, 1.27322])
[0.0174395, 0.0178751] ; ([-0.0120131, -0.0116714] ; [-0.789243, -0.779289] ; [-0.764806, -0.764246] ; [1.27304, 1.2995])
[0.0178751, 0.0183169] ; ([-0.0123638, -0.012013] ; [-0.798738, -0.788944] ; [-0.764246, -0.763666] ; [1.29932, 1.32598])
[0.0183169, 0.0187651] ; ([-0.0127239, -0.0123638] ; [-0.808073, -0.798439] ; [-0.763666, -0.763066] ; [1.3258, 1.35266])
[0.0187651, 0.0192199] ; ([-0.0130934, -0.0127238] ; [-0.817251, -0.807776] ; [-0.763066, -0.762445] ; [1.35248, 1.37955])
[0.0192199, 0.0196813] ; ([-0.0134725, -0.0130933] ; [-0.826269, -0.816955] ; [-0.762445, -0.761802] ; [1.37937, 1.40666])
[0.0196813, 0.0201496] ; ([-0.0138614, -0.0134724] ; [-0.83513, -0.825974] ; [-0.761802, -0.761137] ; [1.40648, 1.43399])
[0.0201496, 0.0206248] ; ([-0.0142604, -0.0138614] ; [-0.843832, -0.834836] ; [-0.761137, -0.760449] ; [1.43381, 1.46155])
[0.0206248, 0.0211073] ; ([-0.0146695, -0.0142603] ; [-0.852376, -0.843539] ; [-0.760449, -0.759737] ; [1.46137, 1.48935])
[0.0211073, 0.0215972] ; ([-0.015089, -0.0146694] ; [-0.860763, -0.852085] ; [-0.759737, -0.759001] ; [1.48917, 1.51739])
[0.0215972, 0.0220946] ; ([-0.0155192, -0.015089] ; [-0.868993, -0.860473] ; [-0.759001, -0.758239] ; [1.51721, 1.54569])
[0.0220946, 0.0225998] ; ([-0.0159602, -0.0155191] ; [-0.877066, -0.868705] ; [-0.758239, -0.757451] ; [1.5455, 1.57424])
[0.0225998, 0.023113] ; ([-0.0164122, -0.0159601] ; [-0.884983, -0.876779] ; [-0.757451, -0.756635] ; [1.57406, 1.60307])
[0.023113, 0.0236343] ; ([-0.0168756, -0.0164121] ; [-0.892744, -0.884698] ; [-0.756636, -0.755792] ; [1.60288, 1.63217])
[0.0236343, 0.0241641] ; ([-0.0173505, -0.0168755] ; [-0.90035, -0.892461] ; [-0.755792, -0.75492] ; [1.63198, 1.66155])
[0.0241641, 0.0247025] ; ([-0.0178372, -0.0173504] ; [-0.907803, -0.900069] ; [-0.75492, -0.754017] ; [1.66137, 1.69124])
