[-0.000190191, 0] ; ([0.233874, 0.233874] ; [0, 0] ; [-1.38317, -1.38317] ; [0, 0])
[0, 0.000190191] ; ([0.233873, 0.233874] ; [-0.00897991, 4.49387e-05] ; [-1.38317, -1.38317] ; [-6.77267e-06, 0.0141854])
[0.000190191, 0.000532534] ; ([0.233867, 0.233873] ; [-0.024938, -0.00879102] ; [-1.38317, -1.38316] ; [0.0141569, 0.039688])
[0.000532534, 0.000962964] ; ([0.233853, 0.233867] ; [-0.0445564, -0.0245712] ; [-1.38316, -1.38314] ; [0.0396326, 0.0716853])
[0.000962964, 0.00139704] ; ([0.233829, 0.233853] ; [-0.063818, -0.0441124] ; [-1.38314, -1.3831] ; [0.0716181, 0.103874])
[0.00139704, 0.00183454] ; ([0.233797, 0.233829] ; [-0.0827922, -0.0633772] ; [-1.3831, -1.38305] ; [0.103808, 0.136251])
[0.00183454, 0.00227551] ; ([0.233757, 0.233797] ; [-0.101482, -0.082355] ; [-1.38305, -1.38298] ; [0.136184, 0.168818])
[0.00227551, 0.00272001] ; ([0.233707, 0.233757] ; [-0.119889, -0.101048] ; [-1.38298, -1.3829] ; [0.168752, 0.20158])
[0.00272001, 0.00316809] ; ([0.23365, 0.233707] ; [-0.138017, -0.119459] ; [-1.3829, -1.3828] ; [0.201514, 0.234541])
[0.00316809, 0.00361982] ; ([0.233583, 0.23365] ; [-0.155868, -0.137591] ; [-1.3828, -1.38269] ; [0.234475, 0.267704])
[0.00361982, 0.00407525] ; ([0.233509, 0.233583] ; [-0.173444, -0.155445] ; [-1.38269, -1.38256] ; [0.267639, 0.301075])
[0.00407525, 0.00453445] ; ([0.233425, 0.233509] ; [-0.190748, -0.173025] ; [-1.38256, -1.38241] ; [0.30101, 0.334657])
[0.00453445, 0.00499747] ; ([0.233333, 0.233425] ; [-0.207783, -0.190332] ; [-1.38241, -1.38225] ; [0.334592, 0.368454])
[0.00499747, 0.00546438] ; ([0.233232, 0.233333] ; [-0.22455, -0.20737] ; [-1.38225, -1.38207] ; [0.36839, 0.402472])
[0.00546438, 0.00593525] ; ([0.233122, 0.233232] ; [-0.241053, -0.224141] ; [-1.38207, -1.38187] ; [0.402408, 0.436714])
[0.00593525, 0.00641014] ; ([0.233004, 0.233122] ; [-0.257294, -0.240647] ; [-1.38187, -1.38166] ; [0.43665, 0.471185])
[0.00641014, 0.00688912] ; ([0.232877, 0.233004] ; [-0.273275, -0.256892] ; [-1.38166, -1.38142] ; [0.471122, 0.505891])
[0.00688912, 0.00737227] ; ([0.232741, 0.232877] ; [-0.288999, -0.272877] ; [-1.38142, -1.38117] ; [0.505828, 0.540835])
[0.00737227, 0.00785965] ; ([0.232597, 0.232741] ; [-0.30447, -0.288605] ; [-1.38117, -1.3809] ; [0.540773, 0.576024])
[0.00785965, 0.00835135] ; ([0.232444, 0.232597] ; [-0.319688, -0.304078] ; [-1.3809, -1.38061] ; [0.575961, 0.611461])
[0.00835135, 0.00884744] ; ([0.232281, 0.232444] ; [-0.334658, -0.319301] ; [-1.38061, -1.38029] ; [0.611399, 0.647153])
[0.00884744, 0.009348] ; ([0.23211, 0.232281] ; [-0.349381, -0.334274] ; [-1.38029, -1.37996] ; [0.647091, 0.683105])
[0.009348, 0.00985311] ; ([0.23193, 0.23211] ; [-0.36386, -0.349] ; [-1.37996, -1.37961] ; [0.683043, 0.719322])
[0.00985311, 0.0103629] ; ([0.231741, 0.23193] ; [-0.378098, -0.363483] ; [-1.37961, -1.37923] ; [0.71926, 0.755809])
[0.0103629, 0.0108773] ; ([0.231543, 0.231741] ; [-0.392097, -0.377725] ; [-1.37923, -1.37883] ; [0.755747, 0.792574])
[0.0108773, 0.0113966] ; ([0.231336, 0.231543] ; [-0.405861, -0.391728] ; [-1.37883, -1.37841] ; [0.792512, 0.829621])
[0.0113966, 0.0119208] ; ([0.23112, 0.231336] ; [-0.419392, -0.405495] ; [-1.37841, -1.37797] ; [0.829559, 0.866957])
[0.0119208, 0.01245] ; ([0.230894, 0.23112] ; [-0.432692, -0.41903] ; [-1.37797, -1.3775] ; [0.866895, 0.904588])
[0.01245, 0.0129843] ; ([0.23066, 0.230894] ; [-0.445765, -0.432334] ; [-1.3775, -1.377] ; [0.904526, 0.942521])
[0.0129843, 0.0135238] ; ([0.230416, 0.23066] ; [-0.458613, -0.44541] ; [-1.377, -1.37649] ; [0.942459, 0.980762])
[0.0135238, 0.0140686] ; ([0.230163, 0.230416] ; [-0.471238, -0.458261] ; [-1.37649, -1.37594] ; [0.980701, 1.01932])
[0.0140686, 0.0146189] ; ([0.2299, 0.230163] ; [-0.483645, -0.47089] ; [-1.37594, -1.37537] ; [1.01926, 1.0582])
[0.0146189, 0.0151746] ; ([0.229628, 0.2299] ; [-0.495834, -0.4833] ; [-1.37537, -1.37477] ; [1.05814, 1.09741])
[0.0151746, 0.015736] ; ([0.229346, 0.229628] ; [-0.50781, -0.495494] ; [-1.37477, -1.37414] ; [1.09734, 1.13695])
[0.015736, 0.0163032] ; ([0.229055, 0.229346] ; [-0.519576, -0.507474] ; [-1.37414, -1.37349] ; [1.13689, 1.17684])
[0.0163032, 0.0168762] ; ([0.228754, 0.229055] ; [-0.531133, -0.519243] ; [-1.37349, -1.3728] ; [1.17678, 1.21709])
[0.0168762, 0.0174553] ; ([0.228443, 0.228754] ; [-0.542485, -0.530804] ; [-1.3728, -1.37208] ; [1.21702, 1.25769])
[0.0174553, 0.0180405] ; ([0.228123, 0.228443] ; [-0.553636, -0.54216] ; [-1.37208, -1.37134] ; [1.25763, 1.29866])
[0.0180405, 0.018632] ; ([0.227792, 0.228123] ; [-0.564587, -0.553313] ; [-1.37134, -1.37056] ; [1.2986, 1.34002])
[0.018632, 0.0192299] ; ([0.227451, 0.227792] ; [-0.575342, -0.564268] ; [-1.37056, -1.36974] ; [1.33995, 1.38176])
[0.0192299, 0.0198354] ; ([0.2271, 0.227451] ; [-0.58592, -0.575026] ; [-1.36974, -1.36889] ; [1.3817, 1.42396])
[0.0198354, 0.0204512] ; ([0.226736, 0.2271] ; [-0.59637, -0.585606] ; [-1.36889, -1.368] ; [1.4239, 1.46683])
[0.0204512, 0.0210777] ; ([0.226359, 0.226736] ; [-0.606689, -0.596056] ; [-1.368, -1.36707] ; [1.46676, 1.51037])
[0.0210777, 0.0217152] ; ([0.225969, 0.226359] ; [-0.616879, -0.606376] ; [-1.36707, -1.36609] ; [1.5103, 1.55461])
[0.0217152, 0.0223641] ; ([0.225566, 0.225969] ; [-0.626939, -0.616566] ; [-1.36609, -1.36507] ; [1.55454, 1.59957])
[0.0223641, 0.0230246] ; ([0.225148, 0.225566] ; [-0.63687, -0.626626] ; [-1.36507, -1.364] ; [1.5995, 1.64528])
[0.0230246, 0.0236971] ; ([0.224717, 0.225148] ; [-0.646672, -0.636557] ; [-1.364, -1.36288] ; [1.64521, 1.69174])
[0.0236971, 0.0243821] ; ([0.224271, 0.224717] ; [-0.656346, -0.64636] ; [-1.36288, -1.3617] ; [1.69167, 1.739])
[0.0243821, 0.0250799] ; ([0.223809, 0.224271] ; [-0.665894, -0.656035] ; [-1.3617, -1.36047] ; [1.73892, 1.78706])
[0.0250799, 0.0257909] ; ([0.223333, 0.22381] ; [-0.675315, -0.665583] ; [-1.36047, -1.35918] ; [1.78699, 1.83597])
[0.0257909, 0.0265157] ; ([0.22284, 0.223333] ; [-0.684612, -0.675005] ; [-1.35918, -1.35783] ; [1.8359, 1.88575])
[0.0265157, 0.0272547] ; ([0.222331, 0.22284] ; [-0.693785, -0.684303] ; [-1.35783, -1.35642] ; [1.88567, 1.93642])
[0.0272547, 0.0280083] ; ([0.221805, 0.222331] ; [-0.702837, -0.693477] ; [-1.35642, -1.35494] ; [1.93634, 1.98803])
[0.0280083, 0.0287773] ; ([0.221261, 0.221805] ; [-0.711769, -0.70253] ; [-1.35494, -1.35339] ; [1.98794, 2.04059])
[0.0287773, 0.029562] ; ([0.220699, 0.221261] ; [-0.720583, -0.711463] ; [-1.35339, -1.35177] ; [2.04051, 2.09416])
[0.029562, 0.0303631] ; ([0.220118, 0.220699] ; [-0.72928, -0.720279] ; [-1.35177, -1.35007] ; [2.09407, 2.14875])
[0.0303631, 0.0311812] ; ([0.219518, 0.220118] ; [-0.737865, -0.728978] ; [-1.35007, -1.34829] ; [2.14866, 2.20442])
[0.0311812, 0.032017] ; ([0.218898, 0.219518] ; [-0.746338, -0.737564] ; [-1.34829, -1.34643] ; [2.20433, 2.2612])
[0.032017, 0.0328712] ; ([0.218257, 0.218898] ; [-0.754704, -0.746039] ; [-1.34643, -1.34447] ; [2.2611, 2.31914])
[0.0328712, 0.0337446] ; ([0.217594, 0.218257] ; [-0.762966, -0.754407] ; [-1.34447, -1.34242] ; [2.31904, 2.37828])
[0.0337446, 0.0346381] ; ([0.216909, 0.217595] ; [-0.771127, -0.76267] ; [-1.34242, -1.34027] ; [2.37818, 2.43868])
[0.0346381, 0.0355525] ; ([0.2162, 0.216909] ; [-0.779191, -0.770834] ; [-1.34027, -1.33801] ; [2.43858, 2.50039])
[0.0355525, 0.0364887] ; ([0.215467, 0.216201] ; [-0.787163, -0.7789] ; [-1.33801, -1.33564] ; [2.50028, 2.56347])
[0.0364887, 0.0374479] ; ([0.214709, 0.215467] ; [-0.795049, -0.786875] ; [-1.33564, -1.33315] ; [2.56336, 2.62798])
[0.0374479, 0.038431] ; ([0.213923, 0.214709] ; [-0.802852, -0.794763] ; [-1.33315, -1.33053] ; [2.62786, 2.69399])
[0.038431, 0.0394394] ; ([0.21311, 0.213923] ; [-0.810579, -0.802569] ; [-1.33053, -1.32778] ; [2.69387, 2.76157])
[0.0394394, 0.0404743] ; ([0.212267, 0.21311] ; [-0.818237, -0.810299] ; [-1.32778, -1.32489] ; [2.76144, 2.83079])
[0.0404743, 0.041537] ; ([0.211394, 0.212267] ; [-0.825833, -0.81796] ; [-1.32489, -1.32184] ; [2.83065, 2.90174])
[0.041537, 0.0426292] ; ([0.210488, 0.211394] ; [-0.833373, -0.825559] ; [-1.32184, -1.31863] ; [2.9016, 2.97452])
[0.0426292, 0.0437524] ; ([0.209548, 0.210488] ; [-0.840868, -0.833103] ; [-1.31863, -1.31525] ; [2.97437, 3.04922])
[0.0437524, 0.0449085] ; ([0.208571, 0.209548] ; [-0.848326, -0.840602] ; [-1.31525, -1.31168] ; [3.04906, 3.12594])
[0.0449085, 0.0460994] ; ([0.207557, 0.208572] ; [-0.855757, -0.848063] ; [-1.31168, -1.30791] ; [3.12577, 3.20481])
[0.0460994, 0.0473273] ; ([0.206501, 0.207557] ; [-0.863173, -0.855499] ; [-1.30791, -1.30393] ; [3.20463, 3.28595])
[0.0473273, 0.0485946] ; ([0.205403, 0.206502] ; [-0.870586, -0.862919] ; [-1.30393, -1.29971] ; [3.28576, 3.3695])
[0.0485946, 0.0499038] ; ([0.204258, 0.205403] ; [-0.87801, -0.870337] ; [-1.29971, -1.29524] ; [3.3693, 3.45562])
[0.0499038, 0.0512578] ; ([0.203065, 0.204259] ; [-0.885461, -0.877767] ; [-1.29524, -1.2905] ; [3.45539, 3.54446])
[0.0512578, 0.0526597] ; ([0.201818, 0.203065] ; [-0.892954, -0.885222] ; [-1.2905, -1.28547] ; [3.54422, 3.6362])
[0.0526597, 0.054113] ; ([0.200515, 0.201819] ; [-0.900509, -0.892722] ; [-1.28547, -1.28012] ; [3.63594, 3.73106])
[0.054113, 0.0556214] ; ([0.199151, 0.200516] ; [-0.908147, -0.900283] ; [-1.28012, -1.27441] ; [3.73077, 3.82923])
[0.0556214, 0.0571889] ; ([0.197721, 0.199152] ; [-0.915888, -0.907926] ; [-1.27441, -1.26833] ; [3.82892, 3.93094])
[0.0571889, 0.0588201] ; ([0.196221, 0.197722] ; [-0.923759, -0.915675] ; [-1.26833, -1.26183] ; [3.9306, 4.03645])
[0.0588201, 0.0605195] ; ([0.194644, 0.196222] ; [-0.931785, -0.923552] ; [-1.26183, -1.25488] ; [4.03608, 4.14601])
[0.0605195, 0.0622921] ; ([0.192986, 0.194645] ; [-0.939994, -0.931586] ; [-1.25488, -1.24743] ; [4.1456, 4.25988])
[0.0622921, 0.0641426] ; ([0.191238, 0.192987] ; [-0.948417, -0.939803] ; [-1.24743, -1.23944] ; [4.25942, 4.3783])
[0.0641426, 0.0660758] ; ([0.189396, 0.191239] ; [-0.957083, -0.948234] ; [-1.23944, -1.23086] ; [4.37779, 4.5015])
[0.0660758, 0.0680953] ; ([0.187455, 0.189398] ; [-0.966018, -0.956908] ; [-1.23086, -1.22164] ; [4.50092, 4.62964])
[0.0680953, 0.0702035] ; ([0.185408, 0.187456] ; [-0.975256, -0.965852] ; [-1.22164, -1.21174] ; [4.62899, 4.76277])
[0.0702035, 0.0724005] ; ([0.183255, 0.18541] ; [-0.984811, -0.97509] ; [-1.21174, -1.20112] ; [4.76204, 4.90079])
[0.0724005, 0.0746831] ; ([0.180996, 0.183257] ; [-0.994677, -0.984635] ; [-1.20112, -1.18977] ; [4.89997, 5.04339])
[0.0746831, 0.0770439] ; ([0.178635, 0.180998] ; [-1.00484, -0.994491] ; [-1.18977, -1.17769] ; [5.04247, 5.18998])
[0.0770439, 0.0794713] ; ([0.176184, 0.178638] ; [-1.01527, -1.00464] ; [-1.1777, -1.16492] ; [5.18896, 5.33972])
[0.0794713, 0.0819499] ; ([0.173654, 0.176187] ; [-1.0259, -1.01505] ; [-1.16492, -1.15149] ; [5.3386, 5.49153])
[0.0819499, 0.0844613] ; ([0.171064, 0.173657] ; [-1.03668, -1.02568] ; [-1.15149, -1.13751] ; [5.49032, 5.6442])
[0.0844613, 0.0869868] ; ([0.168432, 0.171068] ; [-1.04753, -1.03644] ; [-1.13751, -1.12307] ; [5.64291, 5.79649])
[0.0869868, 0.0894992] ; ([0.165787, 0.168436] ; [-1.05832, -1.04728] ; [-1.12307, -1.10832] ; [5.79513, 5.94669])
[0.0894992, 0.0920041] ; ([0.163123, 0.165792] ; [-1.0691, -1.05807] ; [-1.10832, -1.09323] ; [5.94527, 6.09512])
[0.0920041, 0.0944731] ; ([0.16047, 0.163127] ; [-1.07971, -1.06883] ; [-1.09324, -1.07801] ; [6.09365, 6.24004])
[0.0944731, 0.0969017] ; ([0.157836, 0.160475] ; [-1.09013, -1.07944] ; [-1.07801, -1.06268] ; [6.23854, 6.3812])
[0.0969017, 0.0992821] ; ([0.155229, 0.157841] ; [-1.10032, -1.08986] ; [-1.06269, -1.04733] ; [6.37968, 6.51815])
[0.0992821, 0.101611] ; ([0.152656, 0.155234] ; [-1.11025, -1.10005] ; [-1.04734, -1.032] ; [6.51663, 6.65072])
[0.101611, 0.103885] ; ([0.150119, 0.152661] ; [-1.11989, -1.10998] ; [-1.032, -1.01673] ; [6.64919, 6.77883])
[0.103885, 0.106106] ; ([0.147622, 0.150125] ; [-1.12922, -1.11962] ; [-1.01673, -1.00154] ; [6.77731, 6.90251])
[0.106106, 0.108274] ; ([0.145165, 0.147628] ; [-1.13824, -1.12895] ; [-1.00154, -0.986448] ; [6.90098, 7.02183])
[0.108274, 0.110389] ; ([0.142748, 0.145171] ; [-1.14693, -1.13797] ; [-0.986452, -0.971472] ; [7.02031, 7.13692])
[0.110389, 0.112455] ; ([0.14037, 0.142754] ; [-1.1553, -1.14667] ; [-0.971476, -0.956615] ; [7.13541, 7.24794])
[0.112455, 0.114473] ; ([0.138031, 0.140376] ; [-1.16334, -1.15503] ; [-0.95662, -0.941882] ; [7.24643, 7.35504])
[0.114473, 0.116446] ; ([0.135728, 0.138037] ; [-1.17104, -1.16306] ; [-0.941886, -0.927272] ; [7.35354, 7.45839])
[0.116446, 0.118376] ; ([0.133462, 0.135734] ; [-1.17841, -1.17076] ; [-0.927276, -0.912784] ; [7.4569, 7.55816])
[0.118376, 0.120265] ; ([0.131229, 0.133468] ; [-1.18544, -1.17812] ; [-0.912789, -0.898415] ; [7.55668, 7.65452])
[0.120265, 0.122116] ; ([0.129029, 0.131235] ; [-1.19213, -1.18514] ; [-0.898421, -0.884163] ; [7.65304, 7.74761])
[0.122116, 0.123931] ; ([0.12686, 0.129035] ; [-1.19848, -1.19182] ; [-0.884168, -0.870021] ; [7.74613, 7.83758])
[0.123931, 0.125711] ; ([0.12472, 0.126866] ; [-1.20449, -1.19816] ; [-0.870027, -0.855987] ; [7.83611, 7.92459])
[0.125711, 0.12746] ; ([0.122609, 0.124727] ; [-1.21016, -1.20417] ; [-0.855993, -0.842054] ; [7.92312, 8.00874])
[0.12746, 0.12918] ; ([0.120524, 0.122615] ; [-1.2155, -1.20983] ; [-0.84206, -0.828217] ; [8.00727, 8.09017])
[0.12918, 0.13087] ; ([0.118465, 0.120531] ; [-1.22049, -1.21516] ; [-0.828224, -0.814472] ; [8.0887, 8.16898])
[0.13087, 0.132535] ; ([0.11643, 0.118472] ; [-1.22514, -1.22015] ; [-0.814479, -0.800813] ; [8.16752, 8.24529])
[0.132535, 0.134174] ; ([0.114418, 0.116437] ; [-1.22946, -1.2248] ; [-0.800821, -0.787236] ; [8.24383, 8.31919])
[0.134174, 0.13579] ; ([0.112428, 0.114425] ; [-1.23343, -1.2291] ; [-0.787243, -0.773733] ; [8.31773, 8.39077])
[0.13579, 0.137385] ; ([0.110459, 0.112435] ; [-1.23706, -1.23307] ; [-0.773741, -0.760302] ; [8.38931, 8.46012])
[0.137385, 0.138958] ; ([0.108509, 0.110466] ; [-1.24034, -1.2367] ; [-0.76031, -0.746936] ; [8.45866, 8.52731])
[0.138958, 0.140513] ; ([0.106579, 0.108517] ; [-1.24329, -1.23998] ; [-0.746944, -0.73363] ; [8.52584, 8.59241])
[0.140513, 0.142049] ; ([0.104667, 0.106587] ; [-1.24589, -1.24292] ; [-0.733639, -0.72038] ; [8.59095, 8.6555])
[0.142049, 0.143567] ; ([0.102775, 0.104675] ; [-1.24813, -1.24551] ; [-0.720389, -0.707203] ; [8.65404, 8.71653])
[0.143567, 0.145065] ; ([0.100904, 0.102783] ; [-1.25003, -1.24775] ; [-0.707213, -0.6941] ; [8.71507, 8.77555])
[0.145065, 0.146546] ; ([0.0990521, 0.100912] ; [-1.25158, -1.24965] ; [-0.694109, -0.681064] ; [8.77409, 8.83263])
[0.146546, 0.14801] ; ([0.0972186, 0.0990598] ; [-1.25279, -1.2512] ; [-0.681074, -0.668089] ; [8.83117, 8.88782])
[0.14801, 0.149459] ; ([0.0954026, 0.0972263] ; [-1.25364, -1.2524] ; [-0.668099, -0.655171] ; [8.88636, 8.9412])
[0.149459, 0.150894] ; ([0.0936035, 0.0954104] ; [-1.25415, -1.25325] ; [-0.655182, -0.642304] ; [8.93974, 8.9928])
[0.150894, 0.152316] ; ([0.0918203, 0.0936115] ; [-1.25431, -1.25376] ; [-0.642315, -0.629483] ; [8.99134, 9.04269])
[0.152316, 0.153726] ; ([0.0900525, 0.0918287] ; [-1.25414, -1.25391] ; [-0.629494, -0.616702] ; [9.04123, 9.0909])
[0.153726, 0.155124] ; ([0.0882993, 0.0900611] ; [-1.25396, -1.25338] ; [-0.616713, -0.603958] ; [9.08944, 9.13749])
[0.155124, 0.156509] ; ([0.0865643, 0.0883082] ; [-1.25343, -1.25251] ; [-0.603969, -0.591277] ; [9.13602, 9.18236])
[0.156509, 0.15788] ; ([0.0848468, 0.0865738] ; [-1.25256, -1.2513] ; [-0.591289, -0.578654] ; [9.18089, 9.22558])
[0.15788, 0.15924] ; ([0.0831462, 0.0848569] ; [-1.25135, -1.24975] ; [-0.578666, -0.566083] ; [9.22411, 9.26719])
[0.15924, 0.160589] ; ([0.0814617, 0.0831567] ; [-1.2498, -1.24787] ; [-0.566095, -0.553558] ; [9.26572, 9.30723])
[0.160589, 0.161927] ; ([0.0797926, 0.0814727] ; [-1.24792, -1.24566] ; [-0.553571, -0.541075] ; [9.30577, 9.34575])
[0.161927, 0.163256] ; ([0.0781383, 0.0798041] ; [-1.24571, -1.24311] ; [-0.541089, -0.528629] ; [9.34428, 9.38277])
[0.163256, 0.164577] ; ([0.0764981, 0.0781502] ; [-1.24317, -1.24024] ; [-0.528643, -0.516215] ; [9.38131, 9.41834])
[0.164577, 0.16589] ; ([0.0748716, 0.0765106] ; [-1.2403, -1.23705] ; [-0.516229, -0.503828] ; [9.41687, 9.45248])
[0.16589, 0.167196] ; ([0.0732581, 0.0748845] ; [-1.2371, -1.23353] ; [-0.503842, -0.491464] ; [9.45101, 9.48522])
[0.167196, 0.168495] ; ([0.0716572, 0.0732715] ; [-1.23358, -1.22969] ; [-0.491478, -0.479117] ; [9.48374, 9.51658])
[0.168495, 0.169789] ; ([0.0700683, 0.0716711] ; [-1.22975, -1.22553] ; [-0.479132, -0.466783] ; [9.5151, 9.54659])
[0.169789, 0.171078] ; ([0.0684911, 0.0700827] ; [-1.22559, -1.22105] ; [-0.466799, -0.454459] ; [9.54511, 9.57527])
[0.171078, 0.172363] ; ([0.0669249, 0.0685058] ; [-1.22112, -1.21626] ; [-0.454474, -0.442139] ; [9.57378, 9.60264])
[0.172363, 0.173645] ; ([0.0653694, 0.0669401] ; [-1.21633, -1.21116] ; [-0.442155, -0.429818] ; [9.60114, 9.62871])
[0.173645, 0.174923] ; ([0.0638241, 0.0653851] ; [-1.21123, -1.20575] ; [-0.429835, -0.417493] ; [9.62721, 9.6535])
[0.174923, 0.176199] ; ([0.0622886, 0.0638403] ; [-1.20582, -1.20004] ; [-0.41751, -0.405159] ; [9.65199, 9.67703])
[0.176199, 0.177474] ; ([0.0607625, 0.0623053] ; [-1.20011, -1.19401] ; [-0.405176, -0.392811] ; [9.67551, 9.6993])
[0.177474, 0.178748] ; ([0.0592453, 0.0607796] ; [-1.19409, -1.18769] ; [-0.392828, -0.380444] ; [9.69778, 9.72033])
[0.178748, 0.180021] ; ([0.0577367, 0.0592629] ; [-1.18777, -1.18106] ; [-0.380461, -0.368053] ; [9.7188, 9.74013])
[0.180021, 0.181295] ; ([0.0562363, 0.0577548] ; [-1.18115, -1.17414] ; [-0.368071, -0.355635] ; [9.73858, 9.75869])
[0.181295, 0.18257] ; ([0.0547437, 0.0562549] ; [-1.17423, -1.16692] ; [-0.355653, -0.343183] ; [9.75714, 9.77604])
[0.18257, 0.183846] ; ([0.0532584, 0.0547628] ; [-1.16701, -1.15941] ; [-0.343202, -0.330694] ; [9.77447, 9.79216])
[0.183846, 0.185125] ; ([0.0517802, 0.053278] ; [-1.15951, -1.15161] ; [-0.330713, -0.318161] ; [9.79058, 9.80707])
[0.185125, 0.186407] ; ([0.0503086, 0.0518003] ; [-1.15171, -1.14352] ; [-0.31818, -0.30558] ; [9.80548, 9.82076])
[0.186407, 0.187693] ; ([0.0488433, 0.0503292] ; [-1.14363, -1.13515] ; [-0.3056, -0.292945] ; [9.81915, 9.83323])
[0.187693, 0.188983] ; ([0.0473838, 0.0488644] ; [-1.13526, -1.12649] ; [-0.292965, -0.280251] ; [9.8316, 9.84448])
[0.188983, 0.190279] ; ([0.0459299, 0.0474055] ; [-1.12661, -1.11756] ; [-0.280272, -0.267492] ; [9.84283, 9.8545])
[0.190279, 0.19158] ; ([0.0444811, 0.0459522] ; [-1.11768, -1.10835] ; [-0.267514, -0.254663] ; [9.85283, 9.86329])
[0.19158, 0.192888] ; ([0.0430372, 0.044504] ; [-1.10848, -1.09886] ; [-0.254685, -0.241757] ; [9.86159, 9.87082])
[0.192888, 0.194204] ; ([0.0415976, 0.0430606] ; [-1.099, -1.08911] ; [-0.24178, -0.228769] ; [9.86911, 9.8771])
[0.194204, 0.195528] ; ([0.040162, 0.0416216] ; [-1.08925, -1.07909] ; [-0.228792, -0.215691] ; [9.87536, 9.88211])
[0.195528, 0.19686] ; ([0.0387302, 0.0401867] ; [-1.07924, -1.0688] ; [-0.215715, -0.202518] ; [9.88034, 9.88584])
[0.19686, 0.198203] ; ([0.0373016, 0.0387555] ; [-1.06896, -1.05826] ; [-0.202542, -0.189243] ; [9.88404, 9.88825])
[0.198203, 0.199557] ; ([0.0358759, 0.0373276] ; [-1.05843, -1.04746] ; [-0.189268, -0.175858] ; [9.88643, 9.88934])
[0.199557, 0.200922] ; ([0.0344529, 0.0359026] ; [-1.04765, -1.03641] ; [-0.175885, -0.162357] ; [9.88748, 9.88908])
[0.200922, 0.2023] ; ([0.033032, 0.0344802] ; [-1.03662, -1.02511] ; [-0.162386, -0.148732] ; [9.88622, 9.8884])
[0.2023, 0.203691] ; ([0.0316137, 0.03306] ; [-1.02535, -1.01358] ; [-0.148762, -0.134983] ; [9.88314, 9.88675])
[0.203691, 0.205095] ; ([0.0301979, 0.0316425] ; [-1.01383, -1.00181] ; [-0.135016, -0.121104] ; [9.87863, 9.8837])
[0.205095, 0.206514] ; ([0.0287841, 0.0302275] ; [-1.00209, -0.989827] ; [-0.12114, -0.107087] ; [9.87264, 9.87921])
