[-0.000211802, 0] ; ([-0.00698132, -0.00698132] ; [0, 0] ; [-1.74533, -1.74533] ; [0, 0])
[0, 0.000211802] ; ([-0.00698245, -0.00698132] ; [-0.0106957, 4.86646e-05] ; [-1.74533, -1.74533] ; [-9.81583e-17, 0.0134117])
[0.000211802, 0.000593046] ; ([-0.00699014, -0.00698245] ; [-0.0297251, -0.010491] ; [-1.74533, -1.74532] ; [0.0134117, 0.0375795])
[0.000593046, 0.00109775] ; ([-0.00701132, -0.00699012] ; [-0.0544156, -0.0293004] ; [-1.74532, -1.74529] ; [0.0375794, 0.0696259])
[0.00109775, 0.00160665] ; ([-0.00704507, -0.00701127] ; [-0.0786638, -0.0538805] ; [-1.74529, -1.74525] ; [0.0696256, 0.101998])
[0.00160665, 0.00211932] ; ([-0.00709141, -0.00704502] ; [-0.102562, -0.0781321] ; [-1.74525, -1.74519] ; [0.101997, 0.134668])
[0.00211932, 0.00263582] ; ([-0.00715035, -0.00709136] ; [-0.126112, -0.102034] ; [-1.74519, -1.74511] ; [0.134668, 0.167642])
[0.00263582, 0.00315621] ; ([-0.00722191, -0.0071503] ; [-0.149319, -0.125589] ; [-1.74511, -1.74501] ; [0.167641, 0.200922])
[0.00315621, 0.00368056] ; ([-0.00730608, -0.00722185] ; [-0.172185, -0.1488] ; [-1.74501, -1.7449] ; [0.200921, 0.234513])
[0.00368056, 0.00420892] ; ([-0.0074029, -0.00730603] ; [-0.194713, -0.171669] ; [-1.7449, -1.74477] ; [0.234513, 0.26842])
[0.00420892, 0.00474137] ; ([-0.00751237, -0.00740284] ; [-0.216905, -0.194201] ; [-1.74477, -1.74461] ; [0.26842, 0.302647])
[0.00474137, 0.00527797] ; ([-0.00763451, -0.00751231] ; [-0.238766, -0.216398] ; [-1.74461, -1.74444] ; [0.302647, 0.337199])
[0.00527797, 0.00581879] ; ([-0.00776935, -0.00763446] ; [-0.260297, -0.238262] ; [-1.74444, -1.74425] ; [0.337199, 0.37208])
[0.00581879, 0.00636391] ; ([-0.00791692, -0.00776929] ; [-0.281503, -0.259798] ; [-1.74425, -1.74404] ; [0.37208, 0.407296])
[0.00636391, 0.0069134] ; ([-0.00807722, -0.00791685] ; [-0.302385, -0.281007] ; [-1.74404, -1.7438] ; [0.407295, 0.44285])
[0.0069134, 0.00746734] ; ([-0.00825031, -0.00807716] ; [-0.322948, -0.301894] ; [-1.7438, -1.74355] ; [0.44285, 0.478749])
[0.00746734, 0.0080258] ; ([-0.00843621, -0.00825025] ; [-0.343194, -0.322461] ; [-1.74355, -1.74327] ; [0.478749, 0.514998])
